*mpd[__mpd__]
estimate_values:
process[Recruit_BH].b0 growth_increment[female_growth].min_sigma process[Recruit_BH].ycs_values{1985} process[Recruit_BH].ycs_values{1986} process[Recruit_BH].ycs_values{1987} process[Recruit_BH].ycs_values{1988} process[Recruit_BH].ycs_values{1989} process[Recruit_BH].ycs_values{1990} process[Recruit_BH].ycs_values{1991} process[Recruit_BH].ycs_values{1992} process[Recruit_BH].ycs_values{1993} process[Recruit_BH].ycs_values{1994} process[Recruit_BH].ycs_values{1995} process[Recruit_BH].ycs_values{1996} process[Recruit_BH].ycs_values{1997} process[Recruit_BH].ycs_values{1998} process[Recruit_BH].ycs_values{1999} process[Recruit_BH].ycs_values{2000} process[Recruit_BH].ycs_values{2001} process[Recruit_BH].ycs_values{2002} process[Recruit_BH].ycs_values{2003} process[Recruit_BH].ycs_values{2004} process[Recruit_BH].ycs_values{2005} process[Recruit_BH].ycs_values{2006} process[Recruit_BH].ycs_values{2007} process[Recruit_BH].ycs_values{2008} process[Recruit_BH].ycs_values{2009} process[Recruit_BH].ycs_values{2010} process[Recruit_BH].ycs_values{2011} process[Recruit_BH].ycs_values{2012} process[Recruit_BH].ycs_values{2013} process[Recruit_BH].ycs_values{2014} process[Recruit_BH].ycs_values{2015} process[Recruit_BH].ycs_values{2016} process[Recruit_BH].ycs_values{2017} process[Recruit_BH].ycs_values{2018} process[Recruit_BH].ycs_values{2019} process[Recruit_BH].ycs_values{2020} process[Recruit_BH].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
0.233692 0.000996524 0.000918671 0.000910174 0.00117638 0.0025936 0.0206184 0.00213477 0.00265075 0.00268324 0.00119834 0.0023786 0.00182104 0.00176998 0.00320095 0.0014532 0.00310902 0.000524714 0.00816294 -4.81307e-05 0.00320697 0.00205445 0.00296878 0.00317652 0.00498475 0.00258747 0.00499389 0.00524566 0.0018225 0.00397241 0.00219589 0.00414674 0.00230665 0.00326736 0.00498495 0.00856833 0.00134953 -0.000759208 0.000246246 0.000113508 -4.32578e-05 0.00040922 -0.0050584 3.62643e-05 0.00619544 0.00264879 2.12165e-05 0.00431676 0.0700898 -0.000241999 0.000739696 -0.00947377 -0.000149919 -0.00151855 -0.00177135 -0.000555039 -0.00194725 
-0.0703214 5.74937e-06 0.00149684 0.00076123 0.00125968 0.00180808 0.00791353 0.000451155 0.003138 0.00150314 0.00131965 0.000730019 0.00107373 0.00111581 0.00123197 0.00124996 0.00105836 0.00186032 -4.81307e-05 0.00588742 -7.69996e-05 0.00137903 0.00133433 0.00171758 0.00238603 0.00195722 0.0025129 0.0023516 0.00144182 0.00208928 0.000311954 0.00235496 0.00157445 0.00133218 0.0026639 0.0028653 0.00195662 -0.000561214 0.000685672 -0.000149926 9.49527e-05 0.00108798 0.00220499 1.6765e-06 0.00300767 0.00383429 7.83992e-06 0.0253493 -0.0594721 -2.21625e-05 0.003932 0.0159199 0.000106156 0.000114017 -0.000116933 2.39925e-06 -0.000413184 
0.206682 0.00044526 0.00106187 0.000637276 0.00102444 0.00336516 0.0219206 0.00192107 0.00242558 0.0029252 0.00123549 0.00274651 0.00191009 0.00213203 0.00269243 0.0021556 0.00301626 0.00250251 0.00320697 -7.69996e-05 0.00989823 9.46535e-05 0.00276474 0.00303002 0.005906 0.00263734 0.00557905 0.00537068 0.00121731 0.00443863 0.00244287 0.0044564 0.0022051 0.00372485 0.00539948 0.00864266 0.00138673 -0.000106577 -0.00120462 0.000219327 -7.89458e-05 0.00100347 -0.00355089 3.6511e-05 0.000984374 0.000979782 6.43915e-05 -0.00867331 0.0354062 -0.000257364 0.0109032 -0.000248088 0.000120141 -0.00253473 -0.0012072 -0.00132379 -0.00101342 
-0.100136 0.000578895 0.00128732 0.00110984 0.00139722 0.00186291 0.0118195 0.00161223 0.0029787 0.00169476 0.00129746 0.00127752 0.00170451 0.00112803 0.00202704 0.00113213 0.00199561 0.00183852 0.00205445 0.00137903 9.46535e-05 0.0068104 8.21197e-05 0.00199688 0.00311528 0.00238397 0.00305175 0.00326017 0.00167399 0.00269381 0.00102783 0.00264155 0.00202172 0.00209 0.00281628 0.00504033 0.0013015 -0.00135894 0.00158921 2.40826e-05 -0.000119429 0.00145447 0.00407454 -2.36705e-06 0.018424 0.0175944 -2.64038e-05 -0.00661676 0.000586648 -1.82326e-05 -0.00298133 -0.00987904 -0.000117723 0.00225438 -0.000267471 0.0019908 -0.000828172 
0.0520639 -8.81268e-05 0.00109636 0.00074295 0.00111799 0.00245688 0.0162693 0.00143407 0.00255801 0.00252019 0.00112232 0.00209562 0.00152036 0.00191072 0.00223981 0.00175857 0.00238205 0.0026107 0.00296878 0.00133433 0.00276474 8.21197e-05 0.00632496 0.00136744 0.00440697 0.00213704 0.00467665 0.00426619 0.00197182 0.00283436 0.00164255 0.00343271 0.00199043 0.00259282 0.00492986 0.00630411 0.0016268 0.000321687 -0.00164619 0.0001521 -0.000113373 0.00534308 -0.00038092 -2.97165e-05 0.00927335 0.000420295 -2.6334e-05 0.00839718 0.0094785 -0.000137934 -0.000982568 0.00315671 0.000136504 -0.00191728 -0.00054465 -0.00138411 -0.000410685 
0.261722 0.000691613 0.00134787 0.00104587 0.00144791 0.00236296 0.0177111 0.000824664 0.00296055 0.00227174 0.00132016 0.00181724 0.00184531 0.00171184 0.00252235 0.00157693 0.00263351 0.00224666 0.00317652 0.00171758 0.00303002 0.00199688 0.00136744 0.00644007 0.0031683 0.00223924 0.00446313 0.00480808 0.00179649 0.00316496 0.00169439 0.00318685 0.00254347 0.00280667 0.00476098 0.0065199 0.00139255 -0.000533107 7.71414e-05 4.66128e-05 4.91097e-05 0.00150805 -0.00314298 1.19204e-05 0.012846 0.00232245 -4.70039e-05 0.00545569 0.0152313 -9.9438e-05 0.00366772 -0.000206073 -0.000133648 -0.00215367 -0.00159483 -0.00149975 -0.00177244 
0.676115 0.00211298 0.0017856 0.00204064 0.0024882 0.00386296 0.032757 0.00169202 0.00501872 0.0043014 0.00236255 0.00349854 0.00331223 0.00341109 0.00444989 0.00310376 0.00443613 0.00456096 0.00498475 0.00238603 0.005906 0.00311528 0.00440697 0.0031683 0.0181697 0.00178714 0.00817376 0.00832934 0.00284661 0.00572527 0.00259059 0.00651314 0.00418239 0.00504935 0.00909081 0.0131933 0.003164 -0.000420631 -0.00191942 9.23273e-05 -0.000222981 0.0182655 0.00730204 -0.000134603 0.0134068 -0.0161767 -7.2648e-05 0.0143698 0.0305162 -0.000401395 0.00664819 0.0017076 0.000584249 -0.00387944 -0.00433922 -0.00289632 -0.00489093 
0.0351673 0.000689607 0.00150988 0.00102803 0.00173365 0.00251492 0.0155315 0.0029567 0.00259868 0.00235139 0.00132688 0.00192691 0.00164807 0.00156436 0.00217558 0.00175242 0.00241482 0.00277563 0.00258747 0.00195722 0.00263734 0.00238397 0.00213704 0.00223924 0.00178714 0.0106078 0.00183629 0.004557 0.00126869 0.00208091 0.0025072 0.00300977 0.00182327 0.00220988 0.00446006 0.00506188 0.00139326 -0.000906036 0.00172962 -3.35956e-05 -4.76937e-05 0.000421706 -3.75782e-05 -7.98996e-05 0.00481702 0.0148687 2.27994e-05 -0.0101227 0.0155903 0.00030333 -0.00500594 0.00283886 -0.000863429 0.00238351 -0.000454293 0.00218718 -0.000798543 
0.334437 -0.000380707 0.00154566 0.00174125 0.00204557 0.00478922 0.0286363 0.00185276 0.00496652 0.00397897 0.00220377 0.00364489 0.00295838 0.00313807 0.00410076 0.00284024 0.00444647 0.00391911 0.00499389 0.0025129 0.00557905 0.00305175 0.00467665 0.00446313 0.00817376 0.00183629 0.0170494 0.00490182 0.00361972 0.00522368 0.00101726 0.00507389 0.00476994 0.00492456 0.00761065 0.0115147 0.00235219 -0.000276473 -0.000971453 0.000215827 0.000102009 0.0053538 -0.000991662 0.000150959 0.0191403 0.00522825 2.51523e-05 0.0104822 0.00809277 -0.000455584 0.00832343 0.00862256 0.000547612 -0.00445183 -0.000820554 -0.00205584 -0.00069902 
0.466694 0.00320154 0.00131386 0.00220389 0.00238892 0.00345503 0.0300529 0.00332625 0.00424524 0.00403098 0.00209169 0.00334591 0.00292637 0.00322337 0.00406792 0.00278861 0.00430896 0.00445179 0.00524566 0.0023516 0.00537068 0.00326017 0.00426619 0.00480808 0.00832934 0.004557 0.00490182 0.017272 -0.000702589 0.00454301 0.0038482 0.0051658 0.00354736 0.00510421 0.00759213 0.0129116 0.00335403 -0.0011592 -4.18979e-05 -0.000169837 0.00016856 0.0145515 0.00369299 -0.00013794 0.022758 0.00190294 -0.000119024 0.0077923 0.0566361 -5.50199e-05 0.0118902 -0.00492213 -3.91192e-05 -0.000707203 -0.00462271 -0.000275554 -0.00564216 
