process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} 
52706.6 9.6061 5.44352 11.6161 10.9063 3.51779 7.05112 6.57335 3.05853 8.04371 1.02704 1.05104 1.06949 1.08053 1.08285 1.07382 1.05133 1.02563 1.00994 0.423064 0.474214 0.515828 0.379063 0.52116 0.439916 0.665933 0.988908 0.749345 0.64362 0.583763 0.481226 0.316727 0.299232 0.218348 0.328061 0.216705 0.324133 0.910999 0.518746 0.429975 0.18533 0.304414 0.257298 0.229264 0.259707 3 3 
covariance_matrix {matrix}
114.811 -0.012725 0.00393223 -0.0169161 -0.00940078 -0.00436322 -0.00678213 -0.00777527 -0.00352285 -0.0134402 0.00211995 0.00430623 0.00695928 0.00919413 0.0115065 0.0141681 0.0170277 0.020788 0.0250737 -0.00637035 0.00619016 0.00356328 0.00239707 0.00419305 0.00304787 0.00484545 0.0079312 0.00587826 0.00487998 0.00450424 0.00367888 0.00219517 0.00212963 0.00139693 0.0021024 0.00120647 0.00164184 0.00544738 0.00244143 0.00163645 0.00050693 0.000571383 0.000468269 -0.000199725 -0.000622458 -1.9851e-07 -9.7595e-09 
-346.519 0.00750408 0.00261824 0.0465402 0.00745314 0.00190409 0.00617815 -0.00803815 -0.00638513 0.0255803 -0.000181036 -0.000402106 -0.000626872 -0.000638333 -0.000834153 -0.00166251 -0.00270713 -0.00482112 -0.00637035 0.0748119 -0.0356376 0.0135619 0.00112544 0.00377937 0.00339211 0.0046276 0.00736416 0.00549238 0.004252 0.00409572 0.00319693 0.00196878 0.00209222 0.00113388 0.00232611 0.000876161 0.00192753 0.00550868 0.00254946 0.00209767 0.00060156 0.00134791 0.000809992 0.000807352 0.00106017 -5.28559e-08 -5.86702e-08 
-228.856 0.00588616 0.00446888 0.0206056 0.00258081 0.000727971 0.00833804 -0.00237941 -0.00167307 0.0129529 0.000885062 0.00153286 0.00206871 0.00287085 0.00346688 0.00470308 0.00510456 0.00614372 0.00619016 -0.0356376 0.0636247 -0.021411 0.00577886 0.00218685 0.00291181 0.00328788 0.00600596 0.00434743 0.00322922 0.00313827 0.00260303 0.00165872 0.00150506 0.00110635 0.00149467 0.0010321 0.0015478 0.003615 0.00260075 0.00118298 0.000686138 0.0010908 0.000927938 0.000779391 0.0005713 -8.61607e-08 1.2302e-08 
-299.682 0.008096 0.00413872 0.0140633 0.00279394 0.000528279 0.00369544 -0.00294271 0.000508336 0.0147728 0.000559907 0.00106169 0.00205017 0.00258796 0.00298044 0.00314982 0.00324409 0.00327834 0.00356328 0.0135619 -0.021411 0.0405116 -0.00861401 0.00464114 0.00277302 0.0052729 0.00690282 0.00500937 0.00466362 0.00345849 0.00309227 0.00195786 0.00176562 0.0013386 0.00182427 0.00121353 0.00172451 0.00514322 0.00221649 0.00213415 0.000511144 0.00117804 0.000394655 1.48477e-05 -6.6571e-05 -1.16668e-07 1.29424e-09 
-286.143 0.0095887 0.00339832 0.0129839 0.00596598 0.00218184 0.00305676 0.00607954 0.00601917 0.00324988 0.000537652 0.000694778 0.000972982 0.00152569 0.00184148 0.00205358 0.00232108 0.00235458 0.00239707 0.00112544 0.00577886 -0.00861401 0.0232441 -0.00555484 0.00316455 0.00303569 0.00509075 0.00339714 0.00317736 0.00253881 0.00223448 0.00124526 0.00138986 0.000961187 0.00120931 0.000795406 0.00124955 0.00343964 0.00131058 0.00122972 0.000284688 0.00106407 0.00059808 0.000284005 0.000863555 -6.4186e-08 2.22839e-09 
-425.875 0.0115673 0.00279958 0.0423733 0.00870087 0.00281447 0.0179599 0.00225994 0.00188218 0.0221254 0.000381615 0.000806089 0.00144868 0.00207109 0.00289129 0.00356725 0.00362113 0.00384874 0.00419305 0.00377937 0.00218685 0.00464114 -0.00555484 0.0287426 -0.00564955 0.00586265 0.007994 0.00566857 0.0043847 0.00460827 0.00363431 0.00219026 0.00227695 0.00135412 0.00250837 0.000943098 0.00249309 0.00537004 0.00299159 0.00236723 0.000645892 0.00180896 0.00139508 0.00110441 0.0003408 -2.29269e-07 -1.45404e-08 
-345.103 0.00865174 -0.00145363 0.0203854 0.00659878 0.00281138 0.00306852 -0.0100058 -0.0110152 0.0234029 0.000520196 0.000662132 0.00115851 0.00158433 0.00191956 0.00236696 0.00281327 0.00297007 0.00304787 0.00339211 0.00291181 0.00277302 0.00316455 -0.00564955 0.0240747 -0.00511304 0.00844292 0.00414169 0.00380505 0.00319613 0.00286806 0.00172293 0.00163919 0.00125009 0.0013015 0.00109742 0.0012104 0.00445176 0.00208414 0.00165854 0.000882772 0.00105968 0.00121359 0.000450732 0.00096961 5.48914e-08 1.17652e-08 
-611.955 0.0143912 -0.000451492 0.05144 0.0126989 0.00383237 0.0165255 0.00754583 0.0107055 0.0260237 0.000689195 0.00113178 0.00194944 0.0025193 0.00322939 0.00423144 0.00445057 0.00486306 0.00484545 0.0046276 0.00328788 0.0052729 0.00303569 0.00586265 -0.00511304 0.0377063 -0.00140799 0.0100805 0.00668498 0.00569433 0.00490792 0.00328888 0.00293109 0.00218844 0.0026733 0.00156693 0.00266792 0.00680733 0.00405294 0.00369798 0.000981122 0.00224235 0.00145824 0.00120903 0.00128051 -9.81849e-08 -1.29593e-08 
-853.793 0.0136748 -0.00444422 0.0873439 0.00812304 -0.000199632 0.0359815 -0.016229 -0.0147894 0.0628897 0.000958897 0.00192303 0.00310397 0.00420412 0.00526745 0.00666862 0.00734236 0.0077964 0.0079312 0.00736416 0.00600596 0.00690282 0.00509075 0.007994 0.00844292 -0.00140799 0.050221 0.00108335 0.011883 0.00851456 0.00755168 0.00463282 0.0045615 0.00312996 0.0040785 0.00249779 0.00382387 0.0105497 0.00547767 0.00408905 0.00143482 0.00316741 0.00266612 0.00169667 0.00201135 1.96715e-08 -1.15476e-08 
-598.907 0.0122389 0.0021521 0.055904 0.0132924 0.00563417 0.0200955 0.000445373 0.00310842 0.0332271 0.000874548 0.00135963 0.00230064 0.00306983 0.00386064 0.00488237 0.00530735 0.00580024 0.00587826 0.00549238 0.00434743 0.00500937 0.00339714 0.00566857 0.00414169 0.0100805 0.00108335 0.0350672 -0.00099875 0.00795093 0.00564886 0.00342398 0.00357565 0.00225828 0.00312812 0.00180859 0.00286126 0.00820549 0.00398198 0.0028055 0.00119024 0.00242145 0.00175264 0.00105378 0.00091311 -3.03954e-10 2.51407e-10 
-489.331 0.00899548 0.000105125 0.0571892 0.00966003 0.00337268 0.0167137 0.00491854 0.00666701 0.0253953 0.000633115 0.00108515 0.00179071 0.00265976 0.00311751 0.00373607 0.0041801 0.00468241 0.00487998 0.004252 0.00322922 0.00466362 0.00317736 0.0043847 0.00380505 0.00668498 0.011883 -0.00099875 0.0254997 -0.000208332 0.00531638 0.00293921 0.00291355 0.00216866 0.00250297 0.00157848 0.00257982 0.00672475 0.00339999 0.00318875 0.000748717 0.00205806 0.00115977 0.000927582 0.00113385 -1.21381e-07 -1.25528e-08 
