1.63368e+08 -4794.57 -1129.16 -13556 -10107 -5034.59 3527.76 -1386.51 35.4725 -5279.45 60.7252 136.808 141.478 90.5813 48.51 26.9118 -31.7304 -72.2358 -80.1287 -434.312 -261.858 -488.723 -243.179 -296.187 -789.298 -425.479 -1282.21 -841.964 -529.703 -605.71 -536.552 -282.687 -301.884 -229.53 -276.672 -57.7172 -377.949 -424.777 -321.072 -191.01 45.7358 -268.378 -206.191 -18.3472 -300.815 -0.00117665 0.000306 
-80.1287 0.00421048 0.0235226 0.0557741 0.0696187 0.0399269 -0.0881762 -0.0198989 -0.0238983 -0.00898676 0.00280296 0.0054397 0.00902807 0.012572 0.0159743 0.0183358 0.0212587 0.0248814 0.029571 -0.00473201 0.00838312 0.00583634 0.00253588 0.00336584 0.00917064 0.00433761 0.0155261 0.00996074 0.00696528 0.00783088 0.00741847 0.00390341 0.00386471 0.00307335 0.00429218 0.00134417 0.00526303 0.00982761 0.00594331 0.00391711 -0.000213218 0.00330907 0.00217707 0.000112059 0.000898579 1.45528e-08 -7.94807e-09 
-434.312 0.0163919 0.0130239 0.0790791 0.0515855 0.0276715 -0.0419886 -0.0115752 -0.0167158 0.0180861 0.000507397 0.000206809 0.000464235 0.000922735 0.000901205 -4.18634e-05 -0.000983555 -0.00267954 -0.00473201 0.0766346 -0.0348635 0.0140216 0.000881662 0.00391208 0.00557273 0.00499408 0.0106189 0.0076114 0.00492158 0.00571231 0.00491766 0.00274056 0.00286123 0.00204965 0.00298569 0.000602404 0.00358355 0.0069579 0.00404282 0.00264984 6.31263e-05 0.00263091 0.00203659 0.000241655 0.00149561 8.38745e-09 -4.59081e-09 
-261.858 0.0145669 0.0152799 0.048733 0.0429217 0.0238348 -0.0385541 -0.00955654 -0.0142482 0.00707624 0.000733566 0.00169537 0.0029087 0.00453588 0.006039 0.00625625 0.00642928 0.00719606 0.00838312 -0.0348635 0.0664461 -0.0214233 0.00584167 0.00190809 0.00532245 0.00352152 0.00911135 0.006996 0.00392236 0.00481542 0.00443785 0.00229552 0.00215163 0.00200811 0.00229272 0.00102831 0.00349011 0.00545905 0.00460779 0.00185003 0.000247394 0.00233325 0.0022596 -0.000345592 0.00143296 8.40939e-09 -4.80832e-09 
-488.723 0.0225768 0.0172799 0.0629861 0.0593955 0.0321277 -0.053716 -0.00361239 -0.00838833 0.0122562 0.0012939 0.0021639 0.00303172 0.00423033 0.00504197 0.00565395 0.00598424 0.00600066 0.00583634 0.0140216 -0.0214233 0.043139 -0.00853753 0.00380601 0.00747 0.0031094 0.0117875 0.00720724 0.00552353 0.00580945 0.0055378 0.00302636 0.00316264 0.00247708 0.00313647 0.00130739 0.00407487 0.00761726 0.00447784 0.00355431 -0.000167857 0.00329485 0.0018798 0.000651391 0.00199893 1.01092e-08 -4.53291e-09 
-243.179 0.00836117 0.00327815 0.0232471 0.00452891 0.00142434 0.00480156 0.00647043 0.00701301 0.00469775 0.00053212 0.000731897 0.000980242 0.00149471 0.00200926 0.00214796 0.00231234 0.0024382 0.00253588 0.000881662 0.00584167 -0.00853753 0.0236452 -0.00635332 0.00352691 0.00263175 0.00477626 0.00314089 0.00312282 0.00250347 0.00221842 0.00120711 0.00129589 0.000793502 0.00139983 0.000767992 0.00120668 0.0035518 0.00128184 0.00139285 0.000240241 0.000902111 -0.000156792 0.000528922 5.9129e-05 -1.17499e-10 4.16338e-10 
-296.187 0.00621274 0.000220278 0.0241249 -0.00664799 -0.00579685 0.0264688 0.00945 0.00878278 0.00612471 0.000500001 0.000753636 0.00110802 0.00155775 0.00208234 0.00238805 0.00282252 0.0032405 0.00336584 0.00391208 0.00190809 0.00380601 -0.00635332 0.0291617 -0.00757801 0.00657748 0.00599147 0.00465335 0.0036071 0.00387356 0.00302638 0.0016706 0.00195017 0.00104903 0.0020929 0.000829094 0.00202147 0.00464771 0.00222351 0.00174389 0.000729696 0.00103918 0.00197625 4.73291e-05 -0.000206351 -2.47912e-09 2.00849e-09 
-789.298 0.0456953 0.03399 0.13862 0.153589 0.0867549 -0.142562 -0.0291264 -0.0476518 0.0342964 0.00151918 0.00233426 0.00409814 0.00640409 0.00811226 0.00857959 0.00886304 0.00909208 0.00917064 0.00557273 0.00532245 0.00747 0.00352691 -0.00757801 0.0353174 -0.00752538 0.0209353 0.0110067 0.00695039 0.00874024 0.00875712 0.00467019 0.00465505 0.00408728 0.0046354 0.00107093 0.00725219 0.011027 0.00805022 0.00530579 -0.00028286 0.00608516 0.00393985 0.00156875 0.00469596 2.70628e-08 -1.49822e-08 
-425.479 0.00240038 -0.00819722 0.0488028 -0.0103183 -0.00889917 0.0308438 0.0129657 0.0177339 0.0108625 0.000666865 0.00105136 0.00154751 0.00220642 0.00297051 0.00323056 0.00382122 0.00418172 0.00433761 0.00499408 0.00352152 0.0031094 0.00263175 0.00657748 -0.00752538 0.0382622 -0.00399537 0.00914014 0.00582202 0.00491335 0.00406599 0.00272185 0.00219533 0.00170389 0.00212108 0.00150935 0.00189448 0.0057458 0.00314828 0.00281017 0.000778645 0.00150431 0.00136402 7.95967e-05 -3.59291e-05 -3.62022e-09 2.39396e-09 
-1282.21 0.0588517 0.0405395 0.208401 0.180464 0.0991796 -0.142795 -0.0350523 -0.0554302 0.0569246 0.00253529 0.00420252 0.00693757 0.0101838 0.0130567 0.0139694 0.0147607 0.0153601 0.0155261 0.0106189 0.00911135 0.0117875 0.00477626 0.00599147 0.0209353 -0.00399537 0.0639475 0.00893341 0.0151414 0.0149356 0.014448 0.00782298 0.00795886 0.00624436 0.00826808 0.00206931 0.0110376 0.0187554 0.0125211 0.00842683 7.54438e-05 0.00888239 0.00678013 0.00190803 0.00550843 3.22681e-08 -1.80764e-08 
-841.964 0.0343638 0.0246491 0.149088 0.116851 0.0650495 -0.087782 -0.0115044 -0.0223116 0.0340035 0.00150181 0.00242604 0.00417391 0.00622132 0.00812399 0.00864012 0.00921918 0.00975637 0.00996074 0.0076114 0.006996 0.00720724 0.00314089 0.00465335 0.0110067 0.00914014 0.00893341 0.0401052 0.000746526 0.011928 0.00968358 0.00522205 0.00556357 0.00421424 0.00544774 0.00169383 0.00700833 0.012694 0.00838926 0.00517504 0.000447074 0.00556244 0.00421665 0.000856472 0.00348883 1.92418e-08 -1.06124e-08 
