process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.5 2.5348e-05 0.037705 6.99584 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453789 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.371189 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
-19.6116 5.21991e-09 8.71313e-06 0.000148568 0.000384693 914.97 2715.47 -5.3973e-05 0.000332057 0.000447956 0.000643606 0.000832018 0.00543111 -0.000449111 0.0106942 0.000291344 0.00066766 0.00285963 -0.00542134 0.0114136 -0.00214175 0.00049769 0.000830786 0.00101939 0.00144783 0.00161233 0.00163335 0.00126188 0.00129428 0.0015362 0.00131512 0.00128541 0.00141451 0.00113755 0.000742999 0.000792098 0.000682187 0.000877388 0.00111743 0.00122342 0.00121254 0.000983827 0.000864993 0.000831226 0.000664897 0.000554124 0.000561752 0.000238943 -4.07393e-06 3.55436e-08 1.17168e-09 
-16.2016 4.01832e-09 7.4428e-06 -1.13381e-05 8.47017e-05 1810.13 5372.15 -5.14431e-05 0.000326275 0.000436668 0.000627076 0.000850133 0.00502112 -0.000469376 0.0101137 0.000330927 0.000553596 0.00171898 0.000768321 -0.00214175 0.00805356 -0.00236735 0.000883524 0.000961883 0.00133045 0.00146007 0.00146789 0.00114643 0.00117418 0.00139516 0.0011937 0.00116598 0.00128737 0.00103332 0.000676111 0.000719806 0.000619152 0.000797637 0.0010147 0.00111069 0.00110458 0.000891466 0.000783222 0.000757399 0.000611671 0.000505233 0.00052758 0.000226478 1.0949e-06 7.35949e-08 4.17116e-09 
-29.6459 7.57164e-09 1.33847e-05 -0.000236712 -5.42418e-05 -2071.82 -6148.81 -0.000134602 0.000465116 0.000621125 0.00089133 0.00122091 0.00703995 -0.000661432 0.014017 0.000489957 0.000856751 0.00208222 0.0013255 0.00049769 -0.00236735 0.0109622 -0.002607 0.00127893 0.00207087 0.0020458 0.00213286 0.00164084 0.00168593 0.00199977 0.00171203 0.00167544 0.00182387 0.00147533 0.000959872 0.0010278 0.000884552 0.00112939 0.00143247 0.00156036 0.00153212 0.00124588 0.00109987 0.0010396 0.00081761 0.000714655 0.000694908 0.00032347 -5.7458e-09 8.71584e-08 5.2664e-09 
-27.3375 7.99687e-09 1.39136e-05 -0.000225454 7.81364e-05 3411.55 10124.9 -0.000134271 0.000445769 0.000593087 0.0008481 0.00115702 0.00664428 -0.000614571 0.013094 0.000452354 0.000795485 0.00196462 0.0011737 0.000830786 0.000883524 -0.002607 0.00967759 -0.00217041 0.00177499 0.00221021 0.00179799 0.00153086 0.0015271 0.00182138 0.00155465 0.00151694 0.00167767 0.00134332 0.000881803 0.000937431 0.000805208 0.00103546 0.00131157 0.00142851 0.00141639 0.00113072 0.00099211 0.000963113 0.000776781 0.000633569 0.000675842 0.000288432 -8.99789e-07 2.04091e-08 9.66822e-10 
-35.1708 1.00376e-08 1.76737e-05 -0.000429946 -5.41427e-05 737.471 2188.69 -0.000206093 0.000586469 0.000778539 0.00111133 0.00151137 0.00867203 -0.000791487 0.0169933 0.000583985 0.00102877 0.00252484 0.00152752 0.00101939 0.000961883 0.00127893 -0.00217041 0.0116379 -0.00274505 0.0032576 0.0025613 0.00185447 0.00199221 0.00234394 0.00200733 0.00195946 0.00214431 0.00172609 0.00112835 0.00120444 0.00103548 0.00132454 0.00167596 0.00182142 0.00179261 0.00144034 0.00126836 0.00121313 0.000962805 0.000816367 0.000831103 0.000375069 -1.85194e-06 2.38337e-08 1.45491e-09 
-60.5357 1.908e-08 3.43909e-05 -0.000772025 -2.7077e-05 456.853 1355.86 -0.0003788 0.000865892 0.0011487 0.00163814 0.00222622 0.0127673 -0.00115867 0.0249439 0.000852225 0.00150416 0.00369728 0.00222284 0.00144783 0.00133045 0.00207087 0.00177499 -0.00274505 0.0199729 -0.0069941 0.00723962 0.00199436 0.00304173 0.00344276 0.00296392 0.00289239 0.00315454 0.0025369 0.00165882 0.00177092 0.00152192 0.00194243 0.00245152 0.00265656 0.00260395 0.00208566 0.00183676 0.001752 0.00138157 0.00117584 0.00119001 0.000541103 -8.18971e-06 -4.83875e-08 -3.01973e-09 
-109.717 4.57558e-08 7.61625e-05 -0.000229917 0.00133004 -12675.4 -37618.4 -0.000601993 0.000974097 0.00129198 0.0018422 0.0024993 0.014344 -0.00129484 0.0278993 0.00095021 0.00167719 0.00412672 0.00248319 0.00161233 0.00146007 0.0020458 0.00221021 0.0032576 -0.0069941 0.0334923 -0.0139343 0.00904643 0.00210776 0.0041633 0.00340369 0.00336397 0.00357944 0.00290084 0.00187615 0.00201734 0.00173661 0.00218882 0.00275391 0.00296442 0.00284255 0.00231071 0.00204551 0.00188416 0.00141406 0.00129505 0.00114485 0.000560967 -4.78105e-05 -3.90869e-07 -2.69138e-08 
-102.806 5.1458e-08 6.97468e-05 0.00128905 0.00202326 12042.2 35739.1 -0.000366903 0.000992967 0.00131405 0.00187041 0.0025374 0.0144888 -0.00130001 0.0281199 0.000955694 0.00169194 0.00416803 0.00250691 0.00163335 0.00146789 0.00213286 0.00179799 0.0025613 0.00723962 -0.0139343 0.0357559 -0.0125155 0.00741981 0.00302132 0.0034484 0.0032638 0.00361908 0.00286463 0.00187605 0.00198101 0.00170283 0.00219867 0.00278008 0.00303043 0.00300766 0.00239095 0.0020943 0.002064 0.00168847 0.00132466 0.00146388 0.00058066 -2.54333e-05 -3.40099e-07 -2.55454e-08 
-63.3767 2.94002e-08 3.97692e-05 0.00056348 0.00114786 -2240.36 -6648.99 -0.000197666 0.000782072 0.0010329 0.00146779 0.00198997 0.0113228 -0.00101354 0.0219573 0.000744409 0.00131927 0.00324422 0.00193936 0.00126188 0.00114643 0.00164084 0.00153086 0.00185447 0.00199436 0.00904643 -0.0125155 0.0251636 -0.00895744 0.00604729 0.00198645 0.00259885 0.00274592 0.00221247 0.00143167 0.00152563 0.00131411 0.00168212 0.00213469 0.00232902 0.00228564 0.0018608 0.00164254 0.00155993 0.00122873 0.00105589 0.00103129 0.000462104 -2.05956e-05 -1.16204e-07 -9.76718e-09 
-63.3232 2.96652e-08 3.93736e-05 0.000270265 9.26624e-05 2245.11 6663.1 -0.000123139 0.000820368 0.00108204 0.00153576 0.00207936 0.0118141 -0.00105062 0.0228365 0.000771031 0.00136702 0.00335144 0.00199478 0.00129428 0.00117418 0.00168593 0.0015271 0.00199221 0.00304173 0.00210776 0.00741981 -0.00895744 0.0216071 -0.00649384 0.00477829 0.00234712 0.00287255 0.00229038 0.00148762 0.00157669 0.00135407 0.00174103 0.00221031 0.00241922 0.00239973 0.0019422 0.00171158 0.00165025 0.0013342 0.00112218 0.00116632 0.000524066 5.18842e-06 1.5212e-07 8.86764e-09 
-61.7159 2.55966e-08 3.46791e-05 -0.000377855 -0.000289594 1798 5336.14 -9.32323e-05 0.000987544 0.00130091 0.00184453 0.00249682 0.0141492 -0.0012554 0.0273396 0.000921006 0.00163457 0.00399911 0.0023708 0.0015362 0.00139516 0.00199977 0.00182138 0.00234394 0.00344276 0.0041633 0.00302132 0.00604729 -0.00649384 0.01899 -0.00302534 0.00407522 0.00331462 0.00271785 0.0017689 0.00188041 0.00161509 0.00207201 0.00262756 0.00287498 0.00285047 0.00230521 0.00203233 0.00195111 0.00156593 0.00132604 0.00136808 0.000624102 7.10321e-06 2.30603e-07 1.47081e-08 
-45.1123 1.6687e-08 2.29958e-05 -0.000569856 -0.000240099 2322.09 6891.56 -6.47667e-05 0.000851059 0.00112034 0.00158767 0.00214905 0.0121595 -0.00107778 0.0234901 0.000790869 0.00140357 0.00343307 0.00203094 0.00131512 0.0011937 0.00171203 0.00155465 0.00200733 0.00296392 0.00340369 0.0034484 0.00198645 0.00477828 -0.00302534 0.0120528 -0.000368882 0.00325239 0.00230528 0.00151704 0.00161392 0.00139061 0.00178453 0.00226131 0.00247011 0.00244985 0.00197576 0.00174088 0.00167411 0.00134052 0.00112789 0.00117014 0.0005286 3.54128e-06 1.58062e-07 1.03223e-08 
-33.9713 1.02596e-08 1.37893e-05 -0.000530942 -9.70219e-05 2941.8 8730.75 -5.28096e-05 0.000833077 0.00109628 0.00155317 0.00210248 0.011885 -0.00105269 0.0229597 0.000773046 0.00137283 0.00335784 0.00198566 0.00128541 0.00116598 0.00167544 0.00151694 0.00195946 0.00289239 0.00336397 0.0032638 0.00259885 0.00234712 0.00407522 -0.000368882 0.00824778 0.000927 0.0024863 0.00146916 0.00157337 0.00135976 0.00174987 0.00221998 0.00242642 0.00240757 0.00194102 0.0017105 0.00164865 0.00132142 0.00110509 0.0011513 0.000512828 1.79272e-06 1.09408e-07 7.07935e-09 
