*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 growth_increment[female_growth].min_sigma process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} process[Recruitment].ycs_values{2017} process[Recruitment].ycs_values{2018} process[Recruitment].ycs_values{2019} process[Recruitment].ycs_values{2020} process[Recruitment].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
0.224766 0.00112482 0.000923242 0.0010542 0.00128058 0.00199008 0.021076 0.00200023 0.00282541 0.00256446 0.00132241 0.00225221 0.00186269 0.00178271 0.00314361 0.00152333 0.00309588 0.000469221 0.00824292 -2.71131e-05 0.00316815 0.00218532 0.00283227 0.00319703 0.00493485 0.00258522 0.00498529 0.00522027 0.00230551 0.00358831 0.00268664 0.00321457 0.00290271 0.00302991 0.00502385 0.00858227 0.00126834 -0.00044486 -0.00052799 -3.00968e-05 6.49228e-05 -0.000894118 -0.00614383 2.20384e-05 0.00250889 0.00113773 2.3912e-05 0.00629315 0.0639225 -0.000265109 0.000907666 -0.0121252 -0.000197897 -0.00148897 -0.00185746 -0.000656845 -0.00210493 
-0.0505014 -0.000239766 0.00128938 0.000802822 0.00151835 0.00150277 0.00854641 0.000594827 0.00302954 0.00169364 0.00136433 0.00061791 0.00131219 0.000977718 0.00140933 0.00124072 0.00109073 0.00196888 -2.71131e-05 0.00604716 -0.000198116 0.00165246 0.00129923 0.00182194 0.0024055 0.00224638 0.00244325 0.00254654 0.00147227 0.00219884 0.000508008 0.00165062 0.00237455 0.00132685 0.00256628 0.00324407 0.00197563 6.1486e-05 -0.000152709 -0.000152926 0.000109012 0.0017058 0.00285007 1.54853e-05 0.00308707 0.00418935 1.91432e-05 0.0291695 -0.0581757 -0.000111211 0.00433336 0.016137 0.000240684 -0.000120494 9.00497e-05 -0.000102435 -2.18689e-05 
0.41933 0.000929277 0.000918043 0.00111246 0.00135563 0.00261205 0.0219813 0.00169527 0.00225974 0.00291834 0.00106671 0.00279243 0.00168143 0.00216875 0.00253941 0.00204721 0.00286162 0.00246939 0.00316815 -0.000198116 0.0103102 -0.000263953 0.00279183 0.00288471 0.00581081 0.00232873 0.00551381 0.00497229 0.00244215 0.00352705 0.00286174 0.00310542 0.00326809 0.00342233 0.00517315 0.00835608 0.00157284 -0.000228332 -0.00016578 0.000301784 -0.000138154 -0.000125402 -0.00320498 5.61971e-05 0.00334136 0.00342788 5.71517e-05 -0.00834045 0.0396919 -6.46984e-05 0.0160841 -0.000744223 -0.000225058 -0.0023651 -0.00192484 -0.00137666 -0.00205159 
-0.184047 9.11804e-05 0.00110122 0.00103916 0.00155647 0.00167285 0.0127681 0.00189514 0.00310295 0.00184275 0.00153198 0.00107567 0.00212224 0.00098433 0.00229786 0.0012371 0.00212098 0.00195063 0.00218532 0.00165246 -0.000263953 0.00743294 -4.3393e-05 0.00223173 0.00323227 0.00285583 0.00304141 0.00370977 0.00144884 0.00298009 0.00136748 0.00211036 0.00264177 0.0021942 0.00287973 0.00565691 0.00125154 -0.000355597 -0.000471027 -0.000147932 2.54772e-05 0.00203321 0.00420045 -5.53551e-06 0.0149299 0.015617 -8.51354e-06 -6.42686e-06 -0.00358156 -0.000217325 -0.00527367 -0.0111047 0.000169918 0.00190233 0.000317912 0.00182325 0.000120774 
0.153297 1.14996e-05 0.000895358 0.000787996 0.00133635 0.00224702 0.0161358 0.00107548 0.00234877 0.00254955 0.00100466 0.00198219 0.00151466 0.00178619 0.0021787 0.00164892 0.0022443 0.00261449 0.00283227 0.00129923 0.00279183 -4.3393e-05 0.00625851 0.00127316 0.0041907 0.00211133 0.00445431 0.00403614 0.00221811 0.00269082 0.00162348 0.00274777 0.00257426 0.00231882 0.00471186 0.00614711 0.00154989 -3.57624e-05 -0.000227377 0.000210386 -0.000152427 0.00510044 -0.000180814 -1.66199e-05 0.0115378 0.00204285 -2.99919e-05 0.00868469 0.0117477 -9.71536e-05 0.00202036 0.00409164 5.15131e-05 -0.00209982 -0.000816742 -0.00159496 -0.000747651 
0.252684 0.000541976 0.00121611 0.00107429 0.00155561 0.00214886 0.0180598 0.000898841 0.00292769 0.00233496 0.00139647 0.00167398 0.00202955 0.00160937 0.00260859 0.00159316 0.00264087 0.00228568 0.00319703 0.00182194 0.00288471 0.00223173 0.00127316 0.00650998 0.00313188 0.00242795 0.00438354 0.00490536 0.001908 0.00308776 0.00192733 0.00269414 0.00299127 0.00276296 0.00470462 0.00674411 0.00132482 -0.000217129 -0.000418348 -2.17035e-05 0.000107982 0.00150885 -0.0032241 1.23583e-05 0.0117682 0.00187972 -4.09334e-05 0.00861479 0.0133955 -0.000178451 0.0038886 -0.000721515 -4.56099e-05 -0.00237382 -0.0014587 -0.00167192 -0.00151782 
0.796053 0.00217195 0.00144523 0.00206368 0.00289836 0.00349773 0.033073 0.000840622 0.00521433 0.00416577 0.00239238 0.00326741 0.00336722 0.00329839 0.00436793 0.00307658 0.00427668 0.0045227 0.00493485 0.0024055 0.00581081 0.00323227 0.0041907 0.00313188 0.0179964 0.0017683 0.00793134 0.00816948 0.00319585 0.00566136 0.00280088 0.0050827 0.00529698 0.00455533 0.00901475 0.0129832 0.00309255 -0.00056805 -0.000788528 -8.40425e-05 -7.54503e-05 0.0170178 0.00704539 -0.000134488 0.0117501 -0.0166451 -7.3749e-05 0.0184982 0.027085 -0.000352098 0.00865621 0.000344248 0.000459524 -0.00413072 -0.00454271 -0.00325267 -0.00510667 
-0.0281347 0.000177702 0.00131264 0.000960122 0.0020161 0.00202138 0.0165492 0.00349565 0.00223909 0.00275332 0.00140407 0.00172928 0.00212479 0.00129145 0.00252022 0.00173968 0.00252812 0.00298922 0.00258522 0.00224638 0.00232873 0.00285583 0.00211133 0.00242795 0.0017683 0.0112324 0.00173378 0.00497554 0.000895352 0.00251336 0.00269823 0.00227882 0.00282958 0.00228859 0.0042786 0.00585581 0.00128209 0.000211312 -0.000171047 6.77807e-05 -0.00011337 0.00204 0.000741153 -5.90107e-05 0.00527428 0.0155164 4.55574e-05 -0.00646316 0.0176014 5.34239e-05 -0.00550232 0.00403184 -0.000481037 0.0020075 8.55632e-05 0.00211837 9.93009e-05 
0.335781 -0.000107028 0.00154828 0.00178004 0.002172 0.00415003 0.0288261 0.00121788 0.00518026 0.00372632 0.00228412 0.00344563 0.00291431 0.00312811 0.00390485 0.00287452 0.00433819 0.00378319 0.00498529 0.00244325 0.00551381 0.00304141 0.00445431 0.00438354 0.00793134 0.00173378 0.0168982 0.00467573 0.00404498 0.00489357 0.00137901 0.00395924 0.00536372 0.0044143 0.00761839 0.0112293 0.0021121 -0.000447435 -0.00073474 4.24187e-05 0.000228656 0.00333455 -0.00277963 0.000129141 0.0153431 0.00365544 2.12283e-05 0.0110436 -0.00036748 -0.000451816 0.00922339 0.00569848 0.000429959 -0.00447149 -0.00109217 -0.00227959 -0.00114577 
0.453553 0.00290035 0.00102621 0.00191842 0.00298764 0.00270901 0.0313196 0.00249123 0.00447323 0.00404863 0.00224192 0.00301731 0.00326279 0.00299836 0.00417783 0.00282307 0.0042813 0.00452084 0.00522027 0.00254654 0.00497229 0.00370977 0.00403614 0.00490536 0.00816948 0.00497554 0.00467573 0.01752 -0.00126297 0.00544705 0.00396546 0.00333853 0.00522559 0.0045231 0.00759865 0.0131588 0.00311755 -0.000406951 -0.000904771 -0.000302677 0.000281197 0.0141437 0.00327086 -0.000138041 0.018762 0.000288065 -0.000101298 0.0113827 0.0506255 -0.000212407 0.0105109 -0.00641319 0.000173231 -0.000987822 -0.00427321 -0.000449478 -0.00507116 
