*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 growth_increment[female_growth].min_sigma process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} process[Recruitment].ycs_values{2017} process[Recruitment].ycs_values{2018} process[Recruitment].ycs_values{2019} process[Recruitment].ycs_values{2020} process[Recruitment].ycs_values{2021} selectivity[maturity].a50 selectivity[maturity].ato95 selectivity[FishingSel_1_male].a50 selectivity[FishingSel_1_male].ato95 selectivity[FishingSel_1_male].alpha selectivity[FishingSel_2_female].a50 selectivity[FishingSel_2_female].ato95 selectivity[FishingSel_2_male].alpha selectivity[TrawlSurveySel_1_female].a50 selectivity[TrawlSurveySel_1_female].ato95 selectivity[TrawlSurveySel_1_male].alpha selectivity[TrawlSurveySel_2_female].a50 selectivity[TrawlSurveySel_2_female].ato95 selectivity[TrawlSurveySel_2_male].alpha growth_increment[male_growth].g_alpha growth_increment[male_growth].g_beta growth_increment[female_growth].g_alpha growth_increment[female_growth].g_beta 
0.120096 0.000976069 0.000898573 0.000552234 0.00111748 0.00219318 0.0217694 0.00116791 0.00265654 0.00259598 0.0012564 0.00217105 0.00178467 0.00184514 0.00300609 0.0015024 0.00312131 0.000487038 0.00818981 -7.98154e-05 0.00296781 0.00200227 0.00278918 0.0030341 0.00485257 0.00230696 0.00505893 0.00497388 0.00202683 0.00371353 0.00226082 0.00372475 0.00239319 0.00303549 0.0049355 0.00868796 0.000980452 -0.000900317 0.000844858 -7.43809e-05 9.7185e-05 0.00155258 -0.0052841 -5.07026e-06 0.00854905 0.00365972 -8.31688e-06 0.0109277 0.0745752 -0.000197597 0.00233659 -0.00978449 -0.00022066 -0.0021174 -0.00192969 -0.00108385 -0.00186034 
-0.286125 0.000155779 0.0016506 0.000496902 0.00116536 0.0014409 0.00858366 0.000163238 0.00321462 0.0016659 0.00134704 0.000726647 0.000917375 0.00123013 0.00127566 0.00117688 0.00121565 0.00180515 -7.98154e-05 0.0060409 -0.000143299 0.0012691 0.00125336 0.00163815 0.00230551 0.0022435 0.00246611 0.0024855 0.00120179 0.00195205 0.000590493 0.00226639 0.00166378 0.00118432 0.0025586 0.00270473 0.00186917 -0.000483103 0.000354567 -0.000247204 0.000161041 0.00162043 0.0017387 1.23933e-05 0.00297606 0.00454683 2.127e-05 0.0222808 -0.0682572 -9.53377e-05 0.00393287 0.0161781 0.000232611 0.000370643 -6.41085e-05 0.000550329 -0.00048374 
0.128444 0.000116897 0.000907311 0.000845457 0.00121167 0.0029534 0.0220458 0.00109222 0.00276761 0.00267915 0.00130609 0.00233216 0.00210907 0.00187701 0.0027157 0.00217106 0.00282126 0.00266631 0.00296781 -0.000143299 0.00998513 -9.33916e-05 0.00275844 0.00279782 0.00598766 0.00210191 0.00570402 0.00499501 0.00188473 0.00390953 0.00263537 0.00368815 0.00266045 0.00327864 0.00531439 0.00830581 0.000966935 -0.000756098 0.000455205 8.69588e-05 -3.58127e-05 -0.0011294 -0.00487116 3.87392e-06 -0.00574557 -0.00365521 3.89522e-05 -0.007275 0.0304218 2.56138e-05 0.00986298 -0.00260307 -2.97673e-05 -0.00277499 -0.000764373 -0.00179334 -0.000250937 
-0.140562 0.00059296 0.00123546 0.000830308 0.00134405 0.001485 0.0126055 0.000668469 0.0029702 0.00161511 0.00112633 0.00159343 0.001255 0.00136917 0.00181024 0.00112111 0.00197612 0.00164616 0.00200227 0.0012691 -9.33916e-05 0.00697225 -2.98439e-05 0.00195797 0.00293757 0.00245944 0.00268771 0.00330425 0.00107244 0.00306939 0.000864091 0.00258634 0.00205333 0.00188329 0.00278375 0.00497166 0.00127269 -0.00134802 0.00194658 -6.04805e-06 -4.5248e-05 0.00469087 0.00545628 3.29683e-06 0.0257031 0.0218965 -2.46145e-05 -0.00615312 0.00951683 -0.000133132 -0.00110053 -0.00837012 0.00017466 0.00172812 -0.000413294 0.00223027 -0.000935632 
0.0288347 -4.74885e-05 0.000980404 0.000788233 0.00111756 0.00192602 0.0167862 0.000900506 0.00252259 0.00232367 0.00121959 0.00179494 0.00178289 0.00175147 0.00221653 0.00164694 0.00232318 0.00270966 0.00278918 0.00125336 0.00275844 -2.98439e-05 0.00643123 0.0013311 0.00444867 0.00174306 0.00453052 0.00416142 0.00217251 0.00242829 0.00211635 0.00281417 0.0022638 0.00226565 0.00475241 0.00652104 0.00124253 3.17077e-05 -0.00123062 -6.70005e-05 3.66632e-05 0.00308522 -0.00214428 -0.000102351 0.00478382 -0.00260329 -4.47248e-05 0.010031 0.00220807 -8.18912e-05 -0.00130931 0.00123788 4.29621e-05 -0.00189583 -0.000422948 -0.00168197 -0.000309574 
0.127279 0.000666327 0.00114371 0.00090232 0.00151239 0.00208018 0.0182562 -6.18625e-05 0.00307905 0.00216096 0.001284 0.00184329 0.00173626 0.00178684 0.00237641 0.00150127 0.00256098 0.00228526 0.0030341 0.00163815 0.00279782 0.00195797 0.0013311 0.00633347 0.00313653 0.00207061 0.00415913 0.00472023 0.00172147 0.00328827 0.00165515 0.00283828 0.00274745 0.00241846 0.00455791 0.00660176 0.00124246 -0.000843598 0.000846313 -8.33833e-05 8.93819e-05 0.00241757 -0.00340735 -2.26273e-05 0.0143487 0.00263848 -4.86982e-05 0.00828606 0.0171291 -8.99465e-05 0.00540645 6.15689e-05 -1.98158e-06 -0.00227348 -0.00155611 -0.00162337 -0.00165278 
0.695858 0.00203233 0.00182483 0.00187701 0.00249642 0.00321518 0.0342481 -5.01549e-05 0.0054788 0.00405591 0.00227573 0.00328114 0.00323505 0.00327959 0.00468342 0.00294105 0.0042192 0.00445998 0.00485257 0.00230551 0.00598766 0.00293757 0.00444867 0.00313653 0.0186386 0.00114262 0.00824144 0.00800559 0.00240491 0.00549313 0.00358038 0.00531733 0.0044968 0.00392467 0.00945006 0.0132238 0.00252925 -0.00122442 0.000135426 0.000159241 -0.000299143 0.0188621 0.0068036 -0.00011991 0.0121337 -0.0176135 -5.3027e-05 0.0204118 0.0336141 -0.000410005 0.00789616 0.00179052 0.000682822 -0.00483438 -0.00460828 -0.00373177 -0.00485894 
-0.190221 0.00108697 0.00165989 0.000533915 0.00167951 0.00196008 0.0165436 0.00218944 0.00256872 0.00249118 0.00150154 0.00155316 0.00162885 0.0016695 0.00192267 0.00175718 0.00228075 0.0027577 0.00230696 0.0022435 0.00210191 0.00245944 0.00174306 0.00207061 0.00114262 0.0114418 0.000951697 0.00422769 0.00206845 0.00272813 0.00116732 0.00312808 0.00168289 0.00265705 0.00352619 0.00493588 0.00124961 -0.000649927 0.0008355 -0.000364704 0.000235286 0.000146153 -2.79019e-05 -0.000166411 0.00646583 0.0161501 -5.29697e-05 -0.0123196 0.0123978 0.000480472 -0.00579868 0.00184451 -0.00111996 0.00302932 -0.000569393 0.00271292 -0.00122932 
0.0767264 -0.00055068 0.00141783 0.0017758 0.002027 0.00431397 0.0291938 0.00125795 0.0051685 0.00381496 0.00218794 0.00363729 0.00270328 0.00316425 0.00413835 0.0026343 0.00459262 0.00378156 0.00505893 0.00246611 0.00570402 0.00268771 0.00453052 0.00415913 0.00824144 0.000951697 0.0176073 0.00495944 0.00308398 0.0041828 0.00278162 0.00418167 0.00490876 0.00400802 0.00800769 0.0113658 0.00159447 -0.000714246 -0.000686849 -2.51681e-05 0.00021285 0.00416551 -0.00394414 0.000193009 0.0160017 0.00324738 7.4327e-05 0.0175398 0.00444961 -0.000740403 0.0111956 0.00725679 0.000794182 -0.00531464 -0.000801175 -0.00281472 -0.000384579 
0.326165 0.00326896 0.0013402 0.00150595 0.00245146 0.0028864 0.0318262 0.00131779 0.00452833 0.00398772 0.0021949 0.00311128 0.00294273 0.00319535 0.00404283 0.00251615 0.00418268 0.00434625 0.00497388 0.0024855 0.00499501 0.00330425 0.00416142 0.00472023 0.00800559 0.00422769 0.00495944 0.016645 -0.000955216 0.00527348 0.00338988 0.00468267 0.00339003 0.00469236 0.0076198 0.0126886 0.00255129 -0.00156272 0.00105316 -0.000262835 0.000366736 0.014946 0.00386506 -0.000122579 0.0236519 0.00154132 -0.000104518 0.0104838 0.056785 7.95506e-05 0.0105608 -0.0055367 -0.000360457 -0.000878319 -0.00462936 -0.000629222 -0.005786 
