*mpd[__mpd__]
estimate_values:
process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].recruitment_multipliers{1975} process[Recruitment].recruitment_multipliers{1976} process[Recruitment].recruitment_multipliers{1977} process[Recruitment].recruitment_multipliers{1978} process[Recruitment].recruitment_multipliers{1979} process[Recruitment].recruitment_multipliers{1980} process[Recruitment].recruitment_multipliers{1981} process[Recruitment].recruitment_multipliers{1982} process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
-26.4614 4.03981e-09 1.13402e-05 0.00121401 0.00096775 -3.7762e-05 8.58714e-07 -6.30857e-05 0.000149284 0.000598833 0.0016998 -0.000931593 0.0132982 -0.000140629 0.0122349 0.00180402 0.00271204 -0.0115579 0.0221969 -0.00417528 0.001054 0.000827174 0.00141436 0.00156499 0.00216841 0.00208186 0.00263902 0.0013771 0.00237062 0.00192207 0.0020114 0.00174527 0.00210552 0.00158793 0.00124643 0.00114338 0.00103079 0.00128429 0.00157083 0.00179717 0.00143211 0.00160255 0.000991456 0.00118376 0.00087865 8.822e-05 0.00109115 -7.36776e-05 -0.001003 0.000456239 0.00195239 
-15.2584 -5.32351e-10 8.09033e-06 -0.000346337 0.00067371 -1.36161e-05 1.17983e-05 -0.000115335 0.000890986 0.000387245 0.00205989 -0.00521498 0.00864814 0.000755913 0.00669551 -0.000310376 0.000190702 0.00236221 -0.00417528 0.0090035 -0.00156714 0.000418821 0.000994119 0.000166253 0.00149838 0.000440705 0.00108152 0.00242625 -0.000286676 0.00198549 0.000863827 0.000899555 0.000951671 0.000624603 0.000441686 0.000439807 0.000534786 0.000573967 0.000772367 0.000638296 0.000719282 0.000661577 0.000740107 0.000823455 -2.58875e-05 0.000398623 -0.000253337 0.000810844 0.0018862 -0.00132772 -0.00126852 
-8.02773 -6.08369e-10 2.16925e-06 0.000189276 0.000667048 -2.94101e-05 -9.46155e-07 -8.3256e-05 0.000272205 0.000102493 0.000968152 0.00348921 0.00211163 0.00010843 0.0123357 0.00104331 0.000976432 0.00145386 0.001054 -0.00156714 0.00721311 -0.0020299 0.000908624 0.00139829 0.00187207 0.00121958 0.00133006 0.00169277 0.00145366 0.00144729 0.00132753 0.00144078 0.00145367 0.00118063 0.00102656 0.000842312 0.00084479 0.000945682 0.00126966 0.00137322 0.00150781 0.00143189 0.000942177 0.000588602 0.000731181 0.000615803 0.00132182 -0.000232079 -0.000210062 0.000493946 0.000204902 
-45.0509 1.5901e-08 2.99297e-05 -0.00108423 -0.00011742 3.19411e-05 5.89585e-06 -0.000202806 -0.000166118 0.000242537 0.0013805 -0.00180209 0.00588669 0.000952482 0.00960521 -0.000189751 0.00105153 0.00171361 0.000827174 0.000418821 -0.0020299 0.00891073 -0.00208953 0.000925653 0.00155099 0.00164938 0.00212713 0.000977459 0.0008805 0.00183768 0.000828852 0.00132881 0.0011591 0.000850097 0.000738079 0.000496096 0.000549618 0.000661327 0.000895759 0.000842202 0.000869724 0.000857634 0.000557614 0.000645687 0.000401101 0.000412589 0.000159801 0.000463178 0.000200811 -0.000292894 -0.000145164 
-44.1155 1.32335e-08 2.32569e-05 -0.000425408 0.000801241 -4.95271e-05 1.09625e-05 -0.000123588 0.000824534 2.23428e-05 0.00163099 -0.00195057 0.00689652 0.00092642 0.0105986 0.0010869 0.000646918 0.00107981 0.00141436 0.000994119 0.000908624 -0.00208953 0.00764404 -0.00142571 0.00171714 0.00213987 0.00213887 0.000962099 0.00159468 0.00142528 0.00133935 0.00149778 0.0014845 0.00117629 0.000833843 0.000880025 0.000646487 0.000919456 0.00101584 0.00121438 0.00115871 0.000995953 0.000698931 0.000749466 0.000245983 0.000584831 -1.03355e-05 0.000312445 0.00132354 -0.000636718 -0.000390348 
-6.61873 -2.75904e-09 1.17974e-05 -0.000555271 -0.000612711 3.4263e-05 6.3838e-06 -0.00018726 0.0014036 0.000741595 0.00138872 0.000778913 0.00917349 0.000877655 0.0147641 0.000471443 2.69373e-05 0.00343329 0.00156499 0.000166253 0.00139829 0.000925653 -0.00142571 0.00895318 -0.0012735 0.00248141 0.00197491 0.00327501 0.000222613 0.0022316 0.00155663 0.00180201 0.0017242 0.00157042 0.00109452 0.00114949 0.00110206 0.00110878 0.00157362 0.00173663 0.00188004 0.00137275 0.00132848 0.00107279 0.00110064 0.000859803 0.00139594 0.000320001 0.000795831 -0.000244561 -0.000146754 
-84.1897 3.71852e-08 5.20691e-05 0.000280766 0.00200174 -6.04989e-05 2.35043e-06 -0.000365638 4.13447e-05 0.00103169 0.000903237 0.00155922 0.00625907 0.00176324 0.0233916 0.00113033 0.00249788 0.0017861 0.00216841 0.00149838 0.00187207 0.00155099 0.00171714 -0.0012735 0.0153708 -0.00553044 0.00782513 0.000371623 0.0042567 0.00206355 0.00318739 0.00244881 0.00286963 0.00244601 0.00137492 0.00181109 0.00122606 0.00187024 0.00199059 0.00242898 0.00212102 0.00228923 0.00114228 0.00191655 0.000966502 0.00122283 0.000951314 -0.000313988 -0.00112342 0.000971357 -0.000103841 
-103.994 5.31502e-08 9.67998e-05 0.0016413 0.00199332 0.000209944 3.39751e-05 -0.000299683 0.000590771 0.00129085 0.00253737 -0.006935 0.0257134 -0.000928447 0.0135305 0.0022359 0.000615864 0.00431978 0.00208186 0.000440705 0.00121958 0.00164938 0.00213987 0.00248141 -0.00553044 0.0277783 -0.0133891 0.00981989 -0.000371615 0.00427998 0.00130093 0.0025858 0.00281781 0.00200845 0.00163542 0.00149016 0.00124764 0.0016285 0.0021089 0.00232969 0.00230701 0.00178352 0.00152543 0.00120448 0.0018849 0.000829183 0.00150619 0.0012249 0.00529285 -0.00337484 -0.00104481 
-33.6777 2.19329e-10 1.62527e-05 -0.000696587 0.0019592 -9.86639e-05 1.18753e-06 -0.000489153 0.0019041 0.00116555 0.00410731 0.00318559 0.00787765 0.00317855 0.0249664 0.000919644 0.00144374 0.0057225 0.00263902 0.00108152 0.00133006 0.00212713 0.00213887 0.00197491 0.00782513 -0.0133891 0.029791 -0.00825322 0.00514082 0.00429748 0.00276334 0.00312521 0.00324052 0.00255095 0.00204223 0.00162565 0.00181435 0.00187607 0.00261955 0.00288021 0.00290043 0.00247641 0.00211588 0.00187468 0.00132172 0.00153302 0.000597747 0.0009517 -0.00167006 0.00159693 6.00408e-06 
-164.741 9.75278e-08 0.00014053 0.00165817 0.00187084 -7.33776e-06 1.73407e-05 -7.21009e-05 -0.000143275 -0.00011697 -5.73771e-05 -0.0026029 0.00970087 0.00100218 0.0252845 0.00138646 0.00360232 1.61212e-05 0.0013771 0.00242625 0.00169277 0.000977459 0.000962099 0.00327501 0.000371623 0.00981989 -0.00825322 0.0168588 -0.00289211 0.00356929 0.00284959 0.00212958 0.00257775 0.00219638 0.00135377 0.00148533 0.00133409 0.00148537 0.00204859 0.00208388 0.00230803 0.0016168 0.00170403 0.00147597 0.000820335 0.0011247 0.00118572 0.000104545 0.00174657 -0.00169278 -0.00101268 
