process[Recruitment].b0 age_length[asMm0].linf age_length[asMm0].cv_last selectivity[potSurveySel_male].a50 selectivity[potSurveySel_male].ato95 selectivity[potSurveySel_female].a50 selectivity[potSurveySel_female].ato95 process[Recruitment].recruitment_multipliers{1983} process[Recruitment].recruitment_multipliers{1984} process[Recruitment].recruitment_multipliers{1985} process[Recruitment].recruitment_multipliers{1986} process[Recruitment].recruitment_multipliers{1987} process[Recruitment].recruitment_multipliers{1988} process[Recruitment].recruitment_multipliers{1989} process[Recruitment].recruitment_multipliers{1990} process[Recruitment].recruitment_multipliers{1991} process[Recruitment].recruitment_multipliers{1992} process[Recruitment].recruitment_multipliers{1993} process[Recruitment].recruitment_multipliers{1994} process[Recruitment].recruitment_multipliers{1995} process[Recruitment].recruitment_multipliers{1996} process[Recruitment].recruitment_multipliers{1997} process[Recruitment].recruitment_multipliers{1998} process[Recruitment].recruitment_multipliers{1999} process[Recruitment].recruitment_multipliers{2000} process[Recruitment].recruitment_multipliers{2001} process[Recruitment].recruitment_multipliers{2002} process[Recruitment].recruitment_multipliers{2003} process[Recruitment].recruitment_multipliers{2004} process[Recruitment].recruitment_multipliers{2005} process[Recruitment].recruitment_multipliers{2006} process[Recruitment].recruitment_multipliers{2007} process[Recruitment].recruitment_multipliers{2008} process[Recruitment].recruitment_multipliers{2009} process[Recruitment].recruitment_multipliers{2010} process[Recruitment].recruitment_multipliers{2011} process[Recruitment].recruitment_multipliers{2012} process[Recruitment].recruitment_multipliers{2013} process[Recruitment].recruitment_multipliers{2014} process[Recruitment].recruitment_multipliers{2015} process[Recruitment].recruitment_multipliers{2016} process[Recruitment].recruitment_multipliers{2017} 
14561.2 46.7784 0.1 3.03766 0.191249 3.30703 1.03761 0.234624 0.232319 0.234411 0.244364 0.268566 0.320837 0.424753 0.612818 0.915665 1.4181 1.51893 1.01275 0.845766 0.858467 1.0938 1.4923 1.02713 0.794752 0.817792 0.634578 0.813379 0.747801 0.45632 1.03192 0.876495 0.377965 0.909877 0.69749 0.827699 0.425379 1.29262 0.695816 0.755307 0.581353 0.452441 
covariance_matrix:
-8.01291 0.0293955 -0 0.00958492 0.0492868 0.000463138 0.000744298 0.000238502 0.000236364 0.000210685 0.000157956 3.70639e-05 0.000443277 0.00443201 0.0106997 0.0315377 0.0449237 -0.347149 0.419793 -0.0402384 -0.0214178 -0.0482055 0.0336687 0.0059334 -0.00396674 0.00634597 0.0114461 0.0124051 -0.000145215 0.00426494 0.00919621 0.00819509 0.00268978 0.00698446 0.0030978 0.00668018 0.00327908 0.00689663 0.00365913 0.00411086 0.00288338 0.00351726 
1.63846 0.00330824 0 -0.00100183 -0.00411021 -0.00313422 -0.00700965 0.00160684 0.00158136 0.00157259 0.00159942 0.00169977 0.00214398 0.00337678 0.00187332 0.0383683 0.0275087 -0.0881465 -0.0402384 0.224353 -0.034875 -0.0315415 -0.00610084 0.0200593 -0.00161548 0.0165114 0.0091977 0.000219138 0.012045 0.002569 0.0106058 0.00755717 0.00339022 0.00946163 0.0066555 0.00771621 0.00358955 0.015381 0.00555855 0.00738737 0.00579154 0.00351277 
6.63102 -0.0198501 0 -0.170153 -0.862682 -0.00375473 -0.0141698 0.000862299 0.000862135 0.000852934 0.000823649 0.000723073 0.000382958 0.00513181 0.00499134 0.00175282 0.0698844 -0.0882446 -0.0214178 -0.034875 0.254191 -0.0558007 -0.123943 0.0256141 0.0170363 0.0144747 0.00328039 0.00202059 0.00753398 0.00101637 0.00306049 0.00141379 0.00173941 0.00487669 0.0040549 0.00352067 0.00170177 0.00741589 0.00267905 0.00402985 0.00355127 0.0014898 
2.66307 -0.0206796 0 0.0605501 0.309353 0.0070862 0.0187367 -0.000215129 -0.000130492 -4.25543e-05 5.06825e-05 0.000191457 0.000301742 -0.00125106 0.0234088 -0.0412906 0.0119477 0.00798578 -0.0482055 -0.0315415 -0.0558007 0.4708 -0.388863 -0.0178134 0.0403465 -0.000384147 -0.00548065 0.00896325 0.0124808 -0.00271339 -0.00848073 -0.00419899 -0.000817161 0.000961653 -0.00178868 -0.00303271 -4.42662e-05 -0.00202068 -0.00292503 -0.00251459 -0.00089148 0.00131332 
-28.1071 0.0589129 0 0.372307 1.87996 0.00591539 0.0191874 0.00341619 0.00339156 0.00342449 0.00355342 0.00391674 0.00590017 0.00697058 -0.00344138 -0.0339994 0.0434163 0.0542863 0.0336687 -0.00610084 -0.123943 -0.388863 0.969299 -0.343489 -0.0121581 -0.0285997 0.00461768 0.00293173 -0.00867598 0.00959424 0.0224197 0.0170419 0.00479895 0.00604402 0.0126077 0.0113258 0.00405291 0.0129309 0.00831641 0.00595049 0.00243948 -0.000972275 
-13.1857 0.0319186 -0 -0.376989 -1.91142 -0.00616686 -0.0320172 0.000375616 0.000374 0.000384624 0.000394073 0.000339523 -0.000541895 -0.00172335 0.00597565 -0.023395 0.0311981 0.004063 0.0059334 0.0200593 0.0256141 -0.0178134 -0.343489 0.446389 -0.0542745 -0.0329952 -0.0101109 -0.0132039 0.00843626 0.000116304 0.00278104 0.00444184 0.00162446 0.000973027 0.00288163 0.00245529 0.00172605 0.00160866 0.00133119 0.00100448 -2.61641e-06 -0.00021403 
-7.62156 -0.00505536 0 0.0597816 0.303539 -8.17195e-05 -0.00103165 0.00161147 0.00160065 0.00161752 0.00167044 0.00170933 0.00142369 -0.00120311 -0.0025335 0.054647 0.00960051 0.0212381 -0.00396674 -0.00161548 0.0170363 0.0403465 -0.0121581 -0.0542745 0.144581 -0.00793945 -0.00725967 0.00252136 0.0102063 0.00434455 0.013051 0.0109392 0.00445193 0.012532 0.00837515 0.0111201 0.00525246 0.0165115 0.00832326 0.00797889 0.0054367 0.00509063 
-10.2962 0.0103389 0 0.00298162 0.0151725 0.00120476 0.0030659 0.000803665 0.00081156 0.000858546 0.00097483 0.0011875 0.00173031 -0.000146578 0.0107247 -0.00842502 -0.00447515 0.0207878 0.00634597 0.0165114 0.0144747 -0.000384147 -0.0285997 -0.0329952 -0.00793945 0.135428 -0.0245022 -0.0132456 -0.00726432 0.00180088 0.00504344 0.00495702 0.00179999 0.00345665 0.00313949 0.00388714 0.00223678 0.0052408 0.002867 0.00233534 0.00130963 0.00122223 
-6.73524 -0.00512655 0 0.00798402 0.0409437 0.00187224 0.00468786 0.000409213 0.00042732 0.000475141 0.000574502 0.000776583 0.00107884 0.00117002 0.00511279 -0.00466387 0.00174781 0.00578926 0.0114461 0.0091977 0.00328039 -0.00548065 0.00461768 -0.0101109 -0.00725967 -0.0245022 0.082903 -0.0108745 -0.00559744 -0.000447552 0.000483478 0.0018887 0.000330943 0.00341549 0.00022293 0.00337395 0.0013876 0.003558 0.00046883 0.000252581 0.000548149 0.00185339 
-0.961504 -0.021945 0 0.00828155 0.0412131 -0.00276314 -0.0106438 0.000574319 0.0005732 0.000617699 0.000739684 0.00099769 0.00113173 0.00364929 0.00507502 -0.00468264 0.00916444 0.00750382 0.0124051 0.000219138 0.00202059 0.00896325 0.00293173 -0.0132039 0.00252136 -0.0132456 -0.0108745 0.0839678 -0.0131017 -0.00315787 -0.00281339 0.000510078 0.000789269 0.00294573 0.00154054 0.00320889 0.00155264 0.00414281 0.00205608 0.00259734 0.00219053 0.0015133 
