*mcmc_sample[mcmc]
process[Recruitment].b0 selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011}
38719.4 9.30547 4.9987 62.3517 10.5813 3.14996 10.5041 6.0751 2.31434 11.5006 1.07594 1.20777 1.22599 1.28779 1.22659 1.24662 1.30537 1.20254 1.11642 0.37535 0.854949 0.952351 0.29484 0.723949 0.361863 0.992821 1.39829 1.00229 1.05491 0.791023 0.573214 0.326975 0.542444 0.355905 0.440541 0.324427 0.510059 0.824859 0.899178 1.12017 0.233808 0.445964 0.830315 0.258862 0.519411 2.99999 2.99995
44569.1 8.10311 4.12888 84.9459 11.1631 3.60104 7.5653 8.91952 6.91883 7.49231 1.1757 1.47084 1.33428 1.38201 1.31725 1.56059 1.52665 1.32758 1.28888 0.329171 0.850726 0.870162 0.646753 0.481893 0.608284 0.711158 1.37991 1.28328 0.933578 0.873898 0.819434 0.351015 0.431132 0.265222 0.364157 0.578447 0.286474 1.51958 0.896049 0.795945 0.208685 0.742649 0.493528 0.69212 0.493295 2.99999 2.99996
39216.9 10.0889 5.08684 101.705 12.0005 4.20372 9.93314 6.46574 3.84649 17.0324 0.947602 1.05244 1.0526 1.04907 1.11639 1.18647 1.36273 1.18605 1.24492 1.15625 0.449843 1.05722 0.399453 0.553135 0.626164 0.826782 1.27144 0.979634 0.862639 0.872705 0.820291 0.385033 0.499237 0.433703 0.360846 0.310181 0.554778 1.10372 1.11866 0.717834 0.429341 0.281823 0.444902 0.538667 0.268117 2.99999 2.99997
41632.2 9.98302 5.66348 119.404 11.7246 4.07735 12.2523 6.47618 2.86033 9.88892 1.05612 1.01805 1.18941 1.24754 1.32421 1.24194 1.15268 1.12594 1.10428 0.506995 0.80721 0.658327 0.398167 1.02174 0.357565 1.17687 1.50557 0.988191 0.866799 0.991113 0.616966 0.672603 0.463301 0.302487 0.728673 0.247428 0.619834 1.33379 0.795861 0.703595 0.360415 0.606323 0.341379 0.042677 0.560162 2.99999 2.99996
32469.9 8.85033 4.09146 114.639 11.266 3.73702 14.2857 6.97293 3.06192 10.9542 1.13873 1.13064 1.08478 1.04802 1.06251 1.103 1.11052 1.15824 1.12463 0.609932 0.468313 0.378379 0.563625 0.965777 0.241193 1.34879 1.57392 1.14074 1.26614 0.796277 0.806208 0.420584 0.463603 0.247968 0.62168 0.317074 0.312783 1.25487 0.664621 0.986308 0.302565 0.586643 0.758362 0.37495 0.130763 2.99999 2.99995
30030.3 11.0909 5.61883 91.141 11.0431 3.24343 20.7427 8.14014 4.66032 14.7389 0.954693 1.08144 1.07352 1.10563 1.18772 1.31036 1.41623 1.59053 1.39098 0.592006 0.864033 0.634067 1.18853 0.463814 0.668433 1.43553 1.6645 1.50994 0.946573 1.08658 0.626338 0.510993 0.628764 0.282994 0.590865 0.285612 0.744315 1.59227 0.774176 0.903221 0.23145 0.6641 0.287173 1.25812 0.488872 2.99999 2.99996
34637.9 9.85302 4.93684 83.577 11.5038 4.03699 13.3362 6.63783 2.67192 10.5933 1.05176 1.05225 1.07036 1.15452 1.11659 1.15741 1.20426 1.10558 1.14694 0.911091 0.396784 0.741686 0.327906 0.988789 0.514113 0.728037 2.07895 0.615105 0.860231 0.919703 0.645448 0.348499 0.473691 0.36813 0.493978 0.0975908 0.657746 1.30462 0.695615 0.381743 0.56365 0.37065 0.157727 0.169486 0.249304 2.99999 2.99994
41755.9 8.59385 5.08655 79.7582 9.7036 2.81505 17.199 7.36455 3.70744 8.20899 0.924084 1.01493 1.0196 1.09735 1.11392 1.15368 1.12895 1.27055 1.26188 0.794635 0.808075 1.08071 0.611518 0.908937 0.717519 0.699341 1.80493 1.27444 0.692578 1.23309 0.77505 0.607972 0.323547 0.539693 0.381641 0.565314 0.353447 1.57572 1.34422 0.627378 0.330046 0.559378 0.371579 0.133871 0.598841 2.99999 2.99994
39163.2 9.69633 5.26755 54.5048 10.7383 3.2922 12.2973 6.09239 3.7198 14.2879 1.10281 1.29792 1.37441 1.31142 1.32306 1.34313 1.35714 1.2192 1.4123 0.417442 1.21279 0.613334 0.586327 0.909767 0.621845 1.12737 1.53518 1.50361 0.893748 0.874072 0.828943 0.468846 0.544382 0.339089 0.466625 0.380954 0.413776 1.61772 0.741837 0.506867 0.316829 0.647626 0.299437 0.182054 0.846085 2.99999 2.99994
37921.8 10.9608 5.94143 39.4941 12.5392 4.75573 7.46283 8.84326 5.79008 7.70228 1.0416 1.02906 1.18173 1.19697 1.13119 1.17865 1.14172 1.15282 1.33963 0.478509 0.787546 0.737478 0.537042 0.382659 1.15781 0.669674 1.2948 0.77223 1.15478 0.834476 0.797563 0.273967 0.720873 0.257933 0.564933 0.155351 0.637053 1.2306 0.880285 0.325771 0.172133 0.513214 0.304198 0.728368 0.375093 2.99999 2.99996
