process[Recruitment].b0 catchability[chatTANq].q process[instant_mort].m{male} selectivity[chatTANSel_f].mu selectivity[chatTANSel_f].sigma_l selectivity[chatTANSel_f].sigma_r selectivity[chatTANSel_m].mu selectivity[chatTANSel_m].sigma_l selectivity[chatTANSel_m].sigma_r selectivity[trwlFSel_f].mu selectivity[trwlFSel_f].sigma_l selectivity[trwlFSel_f].sigma_r selectivity[trwlFSel_m].mu selectivity[trwlFSel_m].sigma_l selectivity[trwlFSel_m].sigma_r selectivity[lineFSel].a50 selectivity[lineFSel].ato95 process[Recruitment].ycs_values{1973} process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} 
133196 0.0868123 0.14632 5.58426 2.00671 25.3314 4.92313 1.50185 200 7.46917 2.38823 20.2034 7.0437 2.0943 32.0154 10.5646 3.11464 0.566281 0.796971 0.719815 0.828376 0.830193 0.734097 0.675343 0.508068 0.445231 0.496566 0.504741 0.425322 0.377135 0.44515 0.540289 0.611202 0.509674 0.515034 0.442769 0.464608 0.579995 0.773168 0.924823 0.650636 0.602512 0.575204 0.650541 0.537089 0.496586 0.479175 0.440755 0.48113 0.522755 0.435196 0.64029 0.474097 0.535281 0.686716 
covariance_matrix:
376.145 -0.000721112 0.000699467 0.0116891 0.00773838 -0.0541733 0.00763067 0.0040158 1.98277e-08 0.0116299 0.00837299 -0.154259 0.00981996 0.00686448 0.00558319 -0.00428241 -0.00426631 0.00418163 0.0545262 0.00625162 0.00774099 0.00486921 0.00602199 0.00490993 0.00399656 0.00318948 0.00331316 0.0034284 0.00259532 0.00261319 0.00292452 0.00377275 0.00405199 0.003374 0.00340642 0.00299801 0.00319281 0.00407891 0.00529359 0.00615981 0.00417655 0.00376179 0.00372557 0.00410562 0.00302338 0.00298328 0.00246286 0.00237267 0.00254437 0.0023217 0.00168867 0.00245934 0.000843213 0.00420225 0.00201038 
286.09 -0.000606435 0.000577933 0.00206892 0.000214264 -0.00468218 0.00160474 0.000214404 1.51275e-08 0.00306557 0.000975022 -0.110396 0.00532229 0.00298116 0.0252436 -0.00175356 -0.00299382 0.00361028 0.00625162 0.0457959 0.00504416 0.00689483 0.0053717 0.00522992 0.00286824 0.00286281 0.00346073 0.00389183 0.00299907 0.002699 0.00301637 0.00380216 0.0044738 0.00363504 0.00346205 0.00291251 0.00297067 0.00367461 0.00490224 0.00638061 0.00455607 0.00421449 0.00362887 0.00386258 0.00318968 0.00279013 0.0024984 0.00229584 0.00218504 0.00194255 0.00126255 0.00216585 0.00100242 0.00283386 0.00171919 
274.596 -0.000552277 0.000488522 0.00323747 0.0028508 -0.00172438 -0.00132797 -0.00237126 1.26617e-08 0.000335003 -0.00262733 -0.0987653 0.0110925 0.00673729 -0.00535699 -0.00405617 -0.00383208 0.0042466 0.00774099 0.00504416 0.0411064 0.00780899 0.00541682 0.00491196 0.00386651 0.00357152 0.00420331 0.0039456 0.00349743 0.00302553 0.00326511 0.00420463 0.00468614 0.00387259 0.00383676 0.00330114 0.00343564 0.00435998 0.00580194 0.00702647 0.00489288 0.0046238 0.004129 0.00456882 0.00383051 0.00342695 0.00310075 0.00282416 0.003179 0.0034098 0.00237207 0.00334773 0.00197755 -7.18398e-05 0.00436621 
32.0657 -0.000326512 0.000378623 -0.00230941 -0.00267309 0.0419494 -0.000753612 -0.000928227 8.67492e-09 0.00736782 0.00432089 -0.0782231 0.000599901 -0.00148958 -0.00285706 -0.00041723 -0.000692453 0.00337283 0.00486921 0.00689483 0.00780899 0.0388549 0.00762353 0.0050765 0.00370265 0.00369435 0.00394483 0.00416702 0.00361704 0.00320069 0.00376768 0.00471408 0.00528528 0.00426645 0.00432026 0.00366522 0.00386747 0.00482004 0.00651604 0.00758011 0.00523166 0.00482719 0.00427928 0.004532 0.00377244 0.00346957 0.0030371 0.00289753 0.0027754 0.00261522 0.00175207 0.00334564 0.0019698 0.00501161 0.00159596 
4.7629 -0.000181758 0.00025023 0.000528572 0.00106581 0.0191571 -0.00268496 -0.0029836 3.59068e-09 0.00030363 -0.00135266 -0.0476456 0.00617584 0.00369552 -0.030755 -0.000478267 -0.000733569 0.00327355 0.00602199 0.0053717 0.00541682 0.00762353 0.0269899 0.00406341 0.00339539 0.00317138 0.00357838 0.00367425 0.00315199 0.00281854 0.0032589 0.00402625 0.00452355 0.00369449 0.00366646 0.00312779 0.00324017 0.00404814 0.00545924 0.00646048 0.00452451 0.00417357 0.00379142 0.00409335 0.00345857 0.00312572 0.00283752 0.00269329 0.00277178 0.00307711 0.00219216 0.0034381 0.0023921 0.00142745 0.00228719 
-71.9252 -3.91822e-05 9.88253e-05 -0.00150903 -0.00119601 0.0141125 -0.00150328 -0.00124613 1.12548e-09 -5.91117e-06 0.000230993 -0.0265592 0.000468465 0.000537816 -0.021485 -0.00237693 -0.00136215 0.00337072 0.00490993 0.00522992 0.00491196 0.0050765 0.00406341 0.0210149 0.00317297 0.00289871 0.00340469 0.00340048 0.00291347 0.00267642 0.00302341 0.00379652 0.00423805 0.00346211 0.00348001 0.00295235 0.00308619 0.00385226 0.00509181 0.00608057 0.00415924 0.00387097 0.00351198 0.00391934 0.00317632 0.00292745 0.00259591 0.00252754 0.00271718 0.0027851 0.00219775 0.00310515 0.00164058 0.00200682 0.0027207 
-86.682 2.16589e-05 2.95215e-05 -0.0010264 -0.000437873 0.000749786 -0.000929979 -0.000583773 -5.47736e-10 -0.00148811 -0.000885665 -0.00958876 -0.000655454 -0.00026363 -0.0217381 -0.000974528 -0.000362599 0.00256968 0.00399656 0.00286824 0.00386651 0.00370265 0.00339539 0.00317297 0.0123405 0.00214159 0.00254694 0.00246377 0.00194688 0.00191016 0.00222093 0.00278345 0.00319151 0.00259616 0.00255481 0.00214332 0.00221329 0.00276653 0.00358822 0.00443196 0.00307745 0.00283546 0.00257142 0.00280755 0.00225991 0.00212471 0.00193613 0.00188682 0.00202171 0.00224166 0.00165216 0.00228628 0.00159123 0.00096065 0.00025741 
-105.947 6.97722e-05 -4.36854e-06 -0.00161754 -0.00072498 -0.00485148 -0.000814009 -0.000292196 -1.43339e-09 -0.00109681 -0.000313768 -0.00546622 -0.00166972 -0.000902659 -0.0264231 -0.000427604 6.65787e-05 0.00197702 0.00318948 0.00286281 0.00357152 0.00369435 0.00317138 0.00289871 0.00214159 0.00905379 0.00227269 0.00226035 0.00178653 0.00170476 0.00203532 0.00253729 0.00288792 0.00232997 0.00232031 0.00195952 0.002032 0.00251344 0.00336585 0.00394078 0.00275467 0.00251451 0.00228661 0.00250027 0.00206825 0.00196853 0.00175754 0.00174258 0.00174068 0.0020293 0.00145749 0.00199822 0.00129756 0.00113046 0.000905604 
-162.104 0.000145666 -5.69467e-05 -0.00234002 -0.00100639 -0.00449787 -0.00225078 -0.0013091 -2.75322e-09 -7.64016e-06 0.000661986 -0.0100119 -0.00142761 -0.000647657 -0.0358761 0.000374475 0.000886517 0.00214809 0.00331316 0.00346073 0.00420331 0.00394483 0.00357838 0.00340469 0.00254694 0.00227269 0.00923194 0.00278047 0.00225167 0.00200374 0.00237263 0.00304186 0.00336309 0.00277743 0.00278645 0.00237982 0.00248285 0.00306606 0.00399635 0.00469449 0.00320714 0.00298188 0.00269832 0.00295266 0.00245889 0.00227163 0.00209965 0.00198529 0.0021792 0.00235966 0.00188063 0.00243501 0.00141642 0.00135964 0.00135062 
-192.737 0.00018552 -9.8155e-05 -0.00386109 -0.00224617 0.00149321 -0.00250806 -0.00127859 -4.2509e-09 -0.00127764 5.14201e-05 0.00420156 -0.00371477 -0.00234505 -0.0341746 0.000519999 0.00123698 0.00195222 0.0034284 0.00389183 0.0039456 0.00416702 0.00367425 0.00340048 0.00246377 0.00226035 0.00278047 0.00837511 0.00234103 0.00209389 0.00240402 0.00308581 0.00349804 0.00285959 0.0028636 0.00242732 0.00248882 0.00307215 0.00400434 0.004868 0.00339077 0.00315871 0.00280678 0.00307591 0.00259434 0.00245363 0.00224475 0.00202849 0.00219853 0.00237599 0.00173733 0.00240999 0.00129209 0.00155777 0.000514202 
