process[Recruitment].b0 catchability[CPUEq].q catchability[subaTANqA].q selectivity[subaFsel].a50 selectivity[subaFsel].ato95 selectivity[subaTANselA].a50 selectivity[subaTANselA].ato95 observation[CPUE].process_error process[Recruitment].ycs_values{1974} process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} process[Recruitment].ycs_values{2012} process[Recruitment].ycs_values{2013} process[Recruitment].ycs_values{2014} process[Recruitment].ycs_values{2015} process[Recruitment].ycs_values{2016} 
53971.6 2.5348e-05 0.0377049 6.99583 2.70805 3.06313 0.187373 0.186487 0.2206 0.255345 0.333122 0.531308 0.988168 0.453788 2.39155 0.26921 0.257488 0.396052 0.280984 0.188703 0.170511 0.221805 0.212914 0.265145 0.377217 0.429685 0.423358 0.338949 0.346261 0.400865 0.350615 0.340434 0.37119 0.300489 0.200993 0.210689 0.185474 0.235239 0.300363 0.331549 0.331285 0.276114 0.245929 0.237922 0.204787 0.190393 0.224515 0.17625 0.281854 0.304251 0.30437 
covariance_matrix:
-25.8933 4.54769e-09 9.60164e-06 5.99312e-05 0.00049277 2.82243 8.37656 -5.30221e-05 0.000479691 0.000652261 0.00094605 0.00125627 0.00847256 -0.000997738 0.0162833 0.00167166 0.00381133 -0.0149228 0.0261824 -0.00541796 0.000775008 0.00131784 0.0011863 0.00153025 0.00222453 0.00243637 0.0025514 0.00193108 0.00200308 0.00237744 0.00203952 0.00199652 0.00217866 0.00176196 0.0011455 0.00122588 0.0010572 0.00135428 0.00172756 0.00189177 0.00186557 0.00152794 0.00134658 0.00127412 0.00100158 0.000864597 0.000830195 0.000368371 -7.86102e-06 1.05051e-07 5.12906e-09 
-18.937 4.5838e-09 7.82556e-06 0.000117029 0.000367108 2.24748 6.67019 -5.59316e-05 0.000333483 0.000449761 0.000646084 0.000835374 0.00544857 -0.000450794 0.0107311 0.000292639 0.000669918 0.00286512 -0.00541796 0.0114163 -0.00213642 0.000491594 0.000840824 0.00102156 0.00144918 0.00157503 0.00166878 0.00125529 0.00130089 0.00154149 0.00132195 0.00129406 0.00140984 0.00114092 0.00074138 0.000794034 0.000684756 0.000876262 0.00111654 0.0012215 0.00120205 0.000985211 0.000869251 0.000821317 0.000644942 0.000560251 0.000535224 0.000240127 -5.67393e-06 4.22958e-08 1.62745e-09 
-14.8669 2.75987e-09 5.68687e-06 -7.3733e-05 4.99127e-05 4.4463 13.196 -5.53178e-05 0.000329096 0.000440239 0.00063198 0.000856773 0.00505566 -0.000472705 0.0101865 0.00033349 0.000558063 0.00172985 0.000775008 -0.00213642 0.0080641 -0.00237941 0.000903382 0.000966176 0.00133311 0.00138629 0.00153799 0.00113338 0.00118724 0.00140563 0.00120721 0.00118311 0.00127813 0.00103997 0.000672908 0.000723636 0.000624233 0.000795408 0.00101295 0.00110689 0.00108381 0.000894204 0.000791645 0.000737795 0.000572194 0.000517355 0.000475097 0.00022882 -2.07045e-06 8.69532e-08 5.07282e-09 
-31.1736 9.01206e-09 1.53946e-05 -0.000165296 -1.44232e-05 -5.08913 -15.1038 -0.000130168 0.000461888 0.000617038 0.000885718 0.00121331 0.00700042 -0.000657621 0.0139336 0.000487023 0.000851639 0.00206979 0.00131784 0.000491594 -0.00237941 0.010976 -0.00262973 0.00127402 0.00206782 0.00213024 0.00205264 0.00165577 0.00167097 0.00198779 0.00169656 0.00165584 0.00183444 0.00146772 0.000963538 0.00102342 0.000878737 0.00113194 0.00143447 0.00156471 0.0015559 0.00124275 0.00109023 0.00106204 0.000862794 0.000700782 0.000754978 0.00032079 3.61722e-06 7.18687e-08 4.23436e-09 
-24.8221 5.62506e-09 1.06042e-05 -0.00034305 1.25693e-05 8.38201 24.8766 -0.000141573 0.000451085 0.000599817 0.000857342 0.00116954 0.00670937 -0.000620845 0.0132314 0.000457185 0.000803904 0.0019851 0.0011863 0.000840824 0.000903382 -0.00262973 0.00971502 -0.00216232 0.00178 0.00207115 0.0019301 0.00150628 0.00155173 0.0018411 0.00158012 0.00154922 0.00166025 0.00135587 0.000875767 0.000944648 0.000814784 0.00103126 0.00130827 0.00142135 0.00137724 0.00113588 0.00100799 0.000926165 0.00070238 0.000656414 0.000576928 0.000292846 -6.86552e-06 4.55855e-08 2.6662e-09 
-34.6271 9.52492e-09 1.69583e-05 -0.000455366 -6.8316e-05 1.8093 5.36975 -0.000207672 0.000587618 0.000779994 0.00111333 0.00151407 0.0086861 -0.000792843 0.017023 0.000585029 0.00103059 0.00252927 0.00153025 0.00102156 0.000966176 0.00127402 -0.00216232 0.0116397 -0.00274396 0.00322754 0.00258986 0.00184915 0.00199754 0.0023482 0.00201284 0.00196644 0.00214055 0.0017288 0.00112705 0.001206 0.00103755 0.00132364 0.00167525 0.00181987 0.00178415 0.00144146 0.00127179 0.00120514 0.000946722 0.000821305 0.00080972 0.000376023 -3.14155e-06 2.9276e-08 1.82226e-09 
-60.199 1.87625e-08 3.39478e-05 -0.000787773 -3.5857e-05 1.12303 3.33299 -0.000379778 0.000866604 0.00114961 0.00163938 0.00222789 0.012776 -0.00115951 0.0249624 0.000852872 0.00150529 0.00370003 0.00222453 0.00144918 0.00133311 0.00206782 0.00178 -0.00274396 0.0199735 -0.00701272 0.00725732 0.00199107 0.00304503 0.0034454 0.00296733 0.00289671 0.00315221 0.00253858 0.00165802 0.00177189 0.00152321 0.00194187 0.00245108 0.0026556 0.00259871 0.00208635 0.00183889 0.00174706 0.00137161 0.0011789 0.00117677 0.000541695 -8.98861e-06 -4.50162e-08 -2.79217e-09 
-119.063 5.45682e-08 8.84585e-05 0.000207001 0.00157364 -31.1389 -92.4159 -0.00057486 0.000954347 0.00126697 0.00180787 0.0024528 0.0141022 -0.00127153 0.0273891 0.00093226 0.00164591 0.00405065 0.00243637 0.00157503 0.00138629 0.00213024 0.00207115 0.00322754 -0.00701272 0.0340089 -0.0144251 0.00913774 0.00201624 0.00409001 0.00330903 0.00324406 0.00364414 0.00285423 0.00189857 0.00199052 0.00170103 0.00220442 0.00276619 0.00299103 0.002988 0.00229154 0.00198653 0.00202144 0.00169049 0.00121017 0.00151236 0.000544567 -2.56452e-05 -4.8441e-07 -3.32277e-08 
-93.9274 4.3086e-08 5.80652e-05 0.00087396 0.00179182 29.5792 87.7868 -0.000392681 0.00101173 0.00133781 0.00190304 0.00258157 0.0147186 -0.00132216 0.0286047 0.000972747 0.00172166 0.00424031 0.0025514 0.00166878 0.00153799 0.00205264 0.0019301 0.00258986 0.00725732 -0.0144251 0.0362223 -0.0126022 0.00750676 0.00309095 0.00353832 0.00337772 0.00355761 0.00290892 0.00185475 0.00200648 0.00173664 0.00218384 0.00276842 0.00300515 0.00286947 0.00240917 0.00215034 0.00193358 0.00142585 0.0014053 0.00111473 0.000596241 -4.64913e-05 -2.51231e-07 -1.95469e-08 
-65.0287 3.09578e-08 4.19425e-05 0.000640704 0.00119092 -5.50051 -16.3247 -0.00019287 0.000778581 0.00102848 0.00146172 0.00198175 0.01128 -0.00100942 0.0218671 0.000741235 0.00131374 0.00323077 0.00193108 0.00125529 0.00113338 0.00165577 0.00150628 0.00184915 0.00199107 0.00913774 -0.0126022 0.0251798 -0.00897361 0.00603433 0.00196972 0.00257765 0.00275736 0.00220423 0.00143563 0.00152089 0.00130782 0.00168488 0.00213685 0.00233372 0.00231135 0.00185741 0.00163212 0.0015842 0.00127759 0.00104089 0.00109624 0.000459205 -1.66779e-05 -1.32738e-07 -1.08832e-08 
