process[Recruitment].b0 catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
52583 0.0575073 9.51995 5.53388 10.8664 10.8129 3.50263 6.86989 6.44798 3.00327 7.88329 1.02472 1.04659 1.06325 1.07299 1.07458 1.06541 1.04328 1.01815 1.00286 0.426938 0.476757 0.520428 0.382199 0.527158 0.445186 0.674269 1.00397 0.761246 0.653432 0.592745 0.488618 0.321245 0.30342 0.221371 0.33299 0.219917 0.328752 0.925174 0.525767 0.434871 0.187221 0.307342 0.259688 0.23094 0.26021 3 3 
covariance_matrix:
-165.066 -0.000154652 0.0004053 0.000785213 -0.0197886 -0.00160049 0.0178947 -0.0351725 -0.0127025 0.00635493 -0.0565648 0.0149241 0.0111941 -0.00663233 -0.0181955 0.000781747 0.0439714 0.0936066 0.124517 0.117593 -0.00247467 -0.0017118 -0.00516749 -0.005388 -0.00763527 -0.00994063 -0.0151174 -0.0122945 -0.0161003 -0.00822857 -0.00308789 -0.00177833 0.00243239 0.00494918 0.00253758 0.00916115 0.0064969 0.00744272 0.025181 0.0121901 0.000236067 0.00282144 0.000711263 -0.00106268 -0.00180714 -0.000573178 -1.84277e-10 -1.84273e-10 
-19.5239 -6.42542e-07 -0.00104624 -0.000367529 -0.00280826 -0.0176399 0.00707091 0.00238391 0.00116679 0.000724846 0.0221187 -0.0242137 -0.0339357 -0.0311527 -0.0138277 0.0181833 0.0565982 0.0918489 0.117593 0.139937 -0.00265145 -0.00190935 0.00099751 0.00118497 5.94866e-06 0.000481663 -0.00139623 -0.0120043 -0.00511716 -0.00561894 -0.00131177 0.00709082 0.00727476 0.00844205 0.00585973 0.00293795 -7.48797e-05 -0.00108487 -0.00983743 -0.00549181 0.000950219 -0.00149161 0.000490817 0.00175867 0.00222243 0.00143547 1.29627e-10 1.29624e-10 
4.08168 1.12349e-05 -0.000481808 -0.000435234 0.000177449 -0.00833178 0.00263647 0.00324562 0.00177348 -0.00043956 0.0118556 -0.00500127 -0.00437365 -0.00136292 0.00214628 0.00452523 0.0044256 0.00163861 -0.00247467 -0.00265145 0.150486 -0.000113609 0.00059552 0.000550899 0.000213668 0.000739707 0.000935964 -0.00199383 0.000722617 -0.000241551 -0.000159866 0.00102286 0.000687384 0.000685972 0.000762012 -0.00024182 -0.000418028 -0.000509058 -0.0036959 -0.00215905 0.000321118 -0.000751776 2.88419e-05 0.000634386 0.00093287 0.00062258 7.30857e-11 7.30832e-11 
-11.1939 -5.14327e-06 -0.000152442 -1.38546e-05 -0.000512149 -0.00737924 0.00676984 -0.00498055 0.000327384 -7.16214e-05 0.00291859 -0.00218108 -0.00245322 -0.000550938 0.00203338 0.00284649 0.00214806 0.000143726 -0.0017118 -0.00190935 -0.000113609 0.167498 -0.000239178 -0.000169779 -0.000429904 -0.000301618 -0.000580297 -0.00186622 -0.000600583 -0.000335701 -0.0002339 0.000305861 0.000512663 0.000636293 0.000479121 0.000573802 0.000372969 0.000353268 0.000356342 7.05827e-05 0.000173108 -0.000201147 8.9956e-05 0.000259365 0.000317893 0.000242951 1.7068e-11 1.70675e-11 
-7.35869 2.9348e-06 -0.000660984 -0.00058432 -0.00165015 -0.0107575 0.00388956 0.00283289 0.00130746 3.3801e-06 0.0113333 -0.00787963 -0.00755849 -0.000853911 0.00672143 0.00809025 0.00412261 -0.00229096 -0.00516749 0.00099751 0.00059552 -0.000239178 0.18388 0.000315846 -0.000364969 0.000169678 3.83258e-05 -0.00370587 -0.000326749 -0.00107164 -0.000494109 0.00119681 0.00105459 0.00127029 0.00123139 0.000391563 -6.27891e-05 -7.75819e-05 -0.00303859 -0.00201803 0.000461553 -0.000797315 8.2982e-05 0.000775468 0.00114128 0.000820329 8.80503e-11 8.80471e-11 
-13.1402 -5.25131e-06 -0.00064226 -0.0006281 -0.00335842 -0.00627389 -0.00020285 0.00522939 0.000131625 0.000669552 0.00618306 -0.00828705 -0.00844343 -0.000984693 0.00777699 0.00915527 0.00446129 -0.00271146 -0.005388 0.00118497 0.000550899 -0.000169779 0.000315846 0.134033 -0.000720074 -0.000397163 -0.000790837 -0.00402783 -0.00137453 -0.00183517 -0.000679097 0.00112681 0.0011362 0.00153181 0.001374 0.000809206 0.000150624 0.000219993 -0.00194066 -0.00152288 0.000429521 -0.0005449 8.448e-05 0.00062383 0.000952674 0.000732584 7.598e-11 7.5977e-11 
-40.0853 -3.05397e-05 -0.000701903 -0.000639989 -0.00743584 -0.00532551 4.46556e-05 0.00272406 -0.00213637 0.00198189 -0.00269918 -0.0109284 -0.0124148 -0.0015721 0.0121149 0.0140592 0.00681585 -0.00398712 -0.00763527 5.94866e-06 0.000213668 -0.000429904 -0.000364969 -0.000720074 0.183817 -0.00207013 -0.00338535 -0.00666983 -0.00437401 -0.00372067 -0.00131523 0.00115909 0.00181005 0.00272117 0.00211174 0.00243282 0.00115079 0.00138193 0.00149737 1.52385e-05 0.000523982 -0.000149085 0.000198473 0.000527644 0.00079646 0.000744195 5.88828e-11 5.88799e-11 
-38.0969 -2.70647e-05 -0.00108431 -0.00111609 -0.00907662 -0.0049334 -0.00517175 0.010898 -0.0019395 0.00236975 0.00141248 -0.0154013 -0.0166295 -0.00234269 0.0152728 0.0184793 0.0095368 -0.00447287 -0.00994063 0.000481663 0.000739707 -0.000301618 0.000169678 -0.000397163 -0.00207013 0.154621 -0.00319651 -0.00812419 -0.00460691 -0.00467535 -0.001585 0.00187872 0.00229018 0.00335178 0.00277244 0.00242249 0.000838602 0.00110174 -0.000885575 -0.00150033 0.000721789 -0.000491884 0.00018535 0.000847411 0.00133929 0.00114033 1.08502e-10 1.08497e-10 
-63.859 -4.6174e-05 -0.00161461 -0.00161533 -0.0141812 -0.00854354 -0.00592295 0.0140641 -0.00326417 0.00372017 0.000669986 -0.023373 -0.0254165 -0.0040036 0.0228175 0.0286617 0.0156785 -0.00566629 -0.0151174 -0.00139623 0.000935964 -0.000580297 3.83258e-05 -0.000790837 -0.00338535 -0.00319651 0.233001 -0.0128221 -0.00752708 -0.00730448 -0.00249496 0.00283753 0.00362984 0.00531826 0.00431905 0.00402401 0.00152543 0.00193007 -0.000453342 -0.00181903 0.00110561 -0.000665984 0.000317501 0.00126498 0.00197415 0.00170632 1.56606e-10 1.56599e-10 
-143.097 -0.000124492 -0.000414265 0.000111508 -0.0185956 -0.0102286 0.0162492 -0.0240304 -0.00959592 0.00559208 -0.0355448 -0.0144441 -0.0205343 -0.00415454 0.0202975 0.0263748 0.0155674 -0.00306938 -0.0122945 -0.0120043 -0.00199383 -0.00186622 -0.00370587 -0.00402783 -0.00666983 -0.00812419 -0.0128221 0.340502 -0.0145698 -0.00878712 -0.00320378 0.000559382 0.00392789 0.00642939 0.00404632 0.00841641 0.00531317 0.005967 0.0168768 0.00755026 0.000686333 0.0015068 0.000696166 -3.95301e-05 -0.000282194 0.000373814 -6.25526e-11 -6.25519e-11 
